start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
1991,2000,10,10,70-79,-0.35466480619508783,0.7014085115974378,0.6923325447348624,0.7106034576631678,0,54564,23812,TRUE,Adjusted: Sex
1991,2000,10,10,80-89,-0.20107523287580378,0.8178508999641062,0.8056153276850109,0.8302723043939219,1.1255484635701063e-150,22652,16626,TRUE,Adjusted: Sex
1992,2001,10,10,18-29,-0.4935315409731394,0.6104666947502557,0.5776702511522839,0.6451251118712354,1.0608175521767423e-68,151415,1711,TRUE,Adjusted: Sex
1992,2001,10,10,30-39,-0.5748583440220499,0.5627845849614455,0.5418765250710008,0.5844993728575463,1.2627509656554865e-194,152078,2983,TRUE,Adjusted: Sex
1992,2001,10,10,40-49,-0.6044607490689022,0.5463689771939161,0.5325902327798617,0.5605041941565505,0,136844,5652,TRUE,Adjusted: Sex
1992,2001,10,10,50-59,-0.5490730520218904,0.5774848607843236,0.5657223740253815,0.5894919129009514,0,93770,8626,TRUE,Adjusted: Sex
1992,2001,10,10,60-69,-0.4759646540270741,0.6212854417977736,0.6115270828940218,0.6311995183649913,0,70612,15171,TRUE,Adjusted: Sex
1992,2001,10,10,70-79,-0.36108975212278693,0.696916445929376,0.6876369468534445,0.7063211696656376,0,52371,22678,TRUE,Adjusted: Sex
1992,2001,10,10,80-89,-0.19838177652467012,0.8200567149645611,0.8076282093811852,0.8326764815133685,5.434484213361513e-143,22396,16428,TRUE,Adjusted: Sex
1993,2002,10,10,18-29,-0.4927142842792729,0.6109658066664201,0.5768155507859138,0.6471379220046248,2.916079697382499e-63,143036,1592,TRUE,Adjusted: Sex
1993,2002,10,10,30-39,-0.5742150576410208,0.5631467330903953,0.5415675406475015,0.5855857657407186,1.9134689842377646e-182,143413,2846,TRUE,Adjusted: Sex
1993,2002,10,10,40-49,-0.6068530818388487,0.5450634430440163,0.5310284017484662,0.5594694294406556,0,132540,5423,TRUE,Adjusted: Sex
1993,2002,10,10,50-59,-0.5572738581179046,0.5727683853012451,0.5607961848696191,0.5849961751734596,0,91816,8230,TRUE,Adjusted: Sex
1993,2002,10,10,60-69,-0.4837774718445179,0.6164503642129813,0.606358526651276,0.6267101637656466,0,66580,13929,TRUE,Adjusted: Sex
1993,2002,10,10,70-79,-0.36355566858419186,0.69520002533779,0.6856708924623952,0.704861589638166,0,49960,21398,TRUE,Adjusted: Sex
1993,2002,10,10,80-89,-0.2030158553167008,0.8162652991781781,0.8036897373161223,0.8290376344327556,7.436400989961486e-145,21889,16028,TRUE,Adjusted: Sex
1994,2003,10,10,18-29,-0.4834719739969977,0.6166387172416089,0.5805056950980872,0.6550208048124796,1.6948407143463898e-55,137915,1526,TRUE,Adjusted: Sex
1994,2003,10,10,30-39,-0.5577837689594817,0.5724763989416992,0.5497059824607081,0.5961900321299141,8.552046214469654e-160,136971,2720,TRUE,Adjusted: Sex
1994,2003,10,10,40-49,-0.6124841911794243,0.5420027568157931,0.527849649410257,0.5565353481320535,0,129619,5247,TRUE,Adjusted: Sex
1994,2003,10,10,50-59,-0.562026646291491,0.5700525973879608,0.5579263070613667,0.5824424474629011,0,91251,8018,TRUE,Adjusted: Sex
1994,2003,10,10,60-69,-0.4902129245345138,0.6124959648808956,0.6020607578590723,0.6231120399366621,0,63877,13023,TRUE,Adjusted: Sex
1994,2003,10,10,70-79,-0.3680495248314421,0.6920829055507361,0.6823211815538536,0.7019842870256033,0,48026,20349,TRUE,Adjusted: Sex
1994,2003,10,10,80-89,-0.209641165652493,0.8108751636316923,0.7981868572915369,0.8237651685043541,1.2498229466850252e-149,21725,15837,TRUE,Adjusted: Sex
1995,2004,10,10,18-29,-0.4894725838144095,0.6129495884818889,0.5753454674647341,0.6530114848660833,7.270695215728742e-52,133085,1467,TRUE,Adjusted: Sex
1995,2004,10,10,30-39,-0.5628396870796736,0.5695893097362744,0.5462952576666372,0.5938766211362977,8.32227875972579e-154,130030,2574,TRUE,Adjusted: Sex
1995,2004,10,10,40-49,-0.61734229870905,0.5393760347570835,0.5250682152123987,0.5540737345005545,0,126361,5075,TRUE,Adjusted: Sex
1995,2004,10,10,50-59,-0.5782597804554902,0.5608735609258776,0.5488132137378872,0.5731989381289148,0,90607,7798,TRUE,Adjusted: Sex
1995,2004,10,10,60-69,-0.5023925346917575,0.6050812486421866,0.5944229235190315,0.6159306833103073,0,61232,12140,TRUE,Adjusted: Sex
1995,2004,10,10,70-79,-0.3692036510150858,0.6912846153006383,0.6812403308285948,0.7014769938387402,0,45704,19035,TRUE,Adjusted: Sex
1995,2004,10,10,80-89,-0.20925260048199718,0.8111903026999675,0.7983363515656424,0.8242512142958068,2.1220389650011303e-145,21565,15663,TRUE,Adjusted: Sex
1996,2005,10,10,18-29,-0.4693408007869573,0.625414405111315,0.5863473121723909,0.6670844566023024,3.807678605102499e-46,130387,1418,TRUE,Adjusted: Sex
1996,2005,10,10,30-39,-0.5635958252958297,0.5691587842805564,0.5451756384893487,0.5941969869037902,3.4144369631978894e-145,125459,2451,TRUE,Adjusted: Sex
1996,2005,10,10,40-49,-0.6309036120515733,0.5321107620059887,0.5176136767657071,0.5470138749265613,0,124969,4913,TRUE,Adjusted: Sex
1996,2005,10,10,50-59,-0.5802601288954272,0.5597527397634466,0.5476830202764116,0.5720884491079401,0,92141,7790,TRUE,Adjusted: Sex
1996,2005,10,10,60-69,-0.5095292074638033,0.6007783542078398,0.5899651196819992,0.6117897801809542,0,60503,11671,TRUE,Adjusted: Sex
1996,2005,10,10,70-79,-0.37237800489107603,0.6890937124927795,0.6788519790046654,0.6994899614100087,0,44610,18321,TRUE,Adjusted: Sex
1996,2005,10,10,80-89,-0.20437822467851577,0.815154001514295,0.802199927414032,0.8283172604200666,5.27648857554519e-138,21982,15886,TRUE,Adjusted: Sex
1997,2006,10,10,18-29,-0.4445025165833591,0.6411431547944972,0.6007680799472919,0.6842316671949435,6.538538805127307e-41,131728,1405,TRUE,Adjusted: Sex
1997,2006,10,10,30-39,-0.5588918974056702,0.5718423729152773,0.5469801948481832,0.5978346246195193,4.356746002646922e-134,125135,2400,TRUE,Adjusted: Sex
1997,2006,10,10,40-49,-0.6342286362536627,0.5303444190380443,0.5157696069235495,0.5453310916912784,0,126342,4902,TRUE,Adjusted: Sex
1997,2006,10,10,50-59,-0.5897350054629722,0.5544741979014207,0.5425703240160803,0.5666392401684545,0,95103,7913,TRUE,Adjusted: Sex
1997,2006,10,10,60-69,-0.5126280531522958,0.598919516408424,0.5879891742017482,0.6100530466770521,0,61593,11649,TRUE,Adjusted: Sex
1997,2006,10,10,70-79,-0.3696593448201518,0.6909696729479979,0.6805536325592968,0.7015451333914728,0,44828,18175,TRUE,Adjusted: Sex
1997,2006,10,10,80-89,-0.20042851752958077,0.8183799877581928,0.8052583676541434,0.8317154236027187,1.797340153533243e-130,22621,16267,TRUE,Adjusted: Sex
1998,2007,10,10,18-29,-0.45174209337974935,0.636518310843914,0.5946547324221922,0.6813290771087948,1.0134334162281355e-38,127950,1341,TRUE,Adjusted: Sex
1998,2007,10,10,30-39,-0.5501879218346442,0.5768413991003648,0.550623419761173,0.6043077496783398,6.885524543826334e-119,119253,2280,TRUE,Adjusted: Sex
1998,2007,10,10,40-49,-0.6342154411348789,0.5303514170418194,0.5153426897102525,0.5457972552524403,0,122289,4713,TRUE,Adjusted: Sex
1998,2007,10,10,50-59,-0.5986268867441742,0.5495657342390943,0.5375354188965181,0.5618652941414781,0,94435,7750,TRUE,Adjusted: Sex
1998,2007,10,10,60-69,-0.5165544715428579,0.5965725184679276,0.5852581439537609,0.6081056256421509,0,60386,11128,TRUE,Adjusted: Sex
1998,2007,10,10,70-79,-0.373618567113201,0.6882393789021138,0.6774837309786462,0.699165782161782,0,42919,17080,TRUE,Adjusted: Sex
1998,2007,10,10,80-89,-0.1959810058851156,0.8220278482212907,0.8081064065748095,0.8361891178606445,5.377513648397734e-112,22163,15758,TRUE,Adjusted: Sex
1999,2008,10,10,18-29,-0.4442604520152684,0.6412983716208359,0.5968594025323942,0.6890460294310513,7.787536636367313e-34,125500,1295,TRUE,Adjusted: Sex
1999,2008,10,10,30-39,-0.5553097672584598,0.5738944599458521,0.5470268294622331,0.6020817141278443,4.5329373546623775e-114,114847,2167,TRUE,Adjusted: Sex
1999,2008,10,10,40-49,-0.6336341263926782,0.5306598077664457,0.5152445196326642,0.5465362965519428,0,119284,4489,TRUE,Adjusted: Sex
1999,2008,10,10,50-59,-0.602254165840737,0.5475759169321572,0.5353363274469671,0.5600953446108068,0,94179,7609,TRUE,Adjusted: Sex
1999,2008,10,10,60-69,-0.5130602562164772,0.5986607174891058,0.5870042024427998,0.6105487033536091,0,59752,10739,TRUE,Adjusted: Sex
1999,2008,10,10,70-79,-0.3739630678882764,0.6880023207383498,0.6769035835030461,0.6992830365762498,0,41507,16242,TRUE,Adjusted: Sex
1999,2008,10,10,80-89,-0.19216634235788205,0.8251695964185979,0.8110063124706184,0.8395802256820287,6.252308488512454e-105,21911,15422,TRUE,Adjusted: Sex
2000,2009,10,10,18-29,-0.4195014159025655,0.6573744945906146,0.6116794218276295,0.7064831850106654,3.6286472297887266e-30,125558,1298,TRUE,Adjusted: Sex
2000,2009,10,10,30-39,-0.5629255852056733,0.5695403851832724,0.5415312046515516,0.59899826190705,4.157805351644937e-106,112941,2074,TRUE,Adjusted: Sex
2000,2009,10,10,40-49,-0.6303604436978443,0.532399866241617,0.5163440453426527,0.548954946088302,0,118516,4355,TRUE,Adjusted: Sex
2000,2009,10,10,50-59,-0.5980709374820811,0.549871349849031,0.5374397393071152,0.5625905181008867,0,95847,7652,TRUE,Adjusted: Sex
2000,2009,10,10,60-69,-0.5150213159463309,0.5974878584633719,0.585702818268627,0.6095100277414331,0,61047,10676,TRUE,Adjusted: Sex
2000,2009,10,10,70-79,-0.3713006415173945,0.6898365168829269,0.6783856086552474,0.7014807123760874,0,40814,15720,TRUE,Adjusted: Sex
2000,2009,10,10,80-89,-0.18864677595513224,0.8280789524393091,0.8139292046612673,0.8424746864297088,4.3026772174232706e-102,22179,15491,TRUE,Adjusted: Sex
2001,2010,10,10,18-29,-0.4015544488791269,0.6692788772229189,0.6217943428132009,0.7203896604626058,1.0786288953603661e-26,125394,1263,TRUE,Adjusted: Sex
2001,2010,10,10,30-39,-0.5640677446600985,0.5688902505970171,0.5406293323718793,0.598628483224287,2.1794160274431906e-104,111092,1992,TRUE,Adjusted: Sex
2001,2010,10,10,40-49,-0.6317573789227242,0.5316566573429476,0.5153240883851165,0.5485068671694566,0,117094,4148,TRUE,Adjusted: Sex
2001,2010,10,10,50-59,-0.6077266079342623,0.5445875237970647,0.5322610997338844,0.5571994106345511,0,97229,7599,TRUE,Adjusted: Sex
2001,2010,10,10,60-69,-0.5260063464607726,0.5909603541629554,0.5792875663390383,0.6028683515503079,0,62567,10627,TRUE,Adjusted: Sex
2001,2010,10,10,70-79,-0.36902423650491784,0.6914086529180207,0.6797324919875646,0.7032853820656517,0,40268,15084,TRUE,Adjusted: Sex
2001,2010,10,10,80-89,-0.1840596189712859,0.8318862061483676,0.8177529112921534,0.8462637679716992,2.1519818882467468e-98,22402,15480,TRUE,Adjusted: Sex
2002,2011,10,10,18-29,-0.37516241492483027,0.6871776618187971,0.6383973708092224,0.7396852814481036,1.7513068587216366e-23,127045,1256,TRUE,Adjusted: Sex
2002,2011,10,10,30-39,-0.5527002414531206,0.5753940080524157,0.5461828934917506,0.6061674000553879,5.1432168355159565e-96,110828,1910,TRUE,Adjusted: Sex
2002,2011,10,10,40-49,-0.6321703508186888,0.5314371434148238,0.5146498089716087,0.5487720630174922,0,117076,3997,TRUE,Adjusted: Sex
2002,2011,10,10,50-59,-0.6111983742366432,0.5427001213890519,0.5303392354500803,0.5553491087751407,0,99832,7497,TRUE,Adjusted: Sex
2002,2011,10,10,60-69,-0.5351707544161141,0.5855692930648336,0.5738993232500421,0.5974765661660395,0,65547,10576,TRUE,Adjusted: Sex
2002,2011,10,10,70-79,-0.37302173000573835,0.6886502683070846,0.6768315546764473,0.7006753582375825,0,40725,14618,TRUE,Adjusted: Sex
2002,2011,10,10,80-89,-0.18221110404314342,0.8334253823757841,0.8193748814657517,0.8477168188823162,5.973779244895498e-98,23178,15641,TRUE,Adjusted: Sex
2003,2012,10,10,18-29,-0.3724624614371113,0.6890355164754797,0.6402240352936573,0.7415684460313396,2.9148371114592697e-23,130759,1250,TRUE,Adjusted: Sex
2003,2012,10,10,30-39,-0.5574707782790632,0.5726556067630534,0.5428879107950927,0.6040555286576207,4.141245232494757e-93,112298,1808,TRUE,Adjusted: Sex
2003,2012,10,10,40-49,-0.645346588827324,0.5244807314399762,0.5076036117067451,0.541918992118466,0,118731,3845,TRUE,Adjusted: Sex
2003,2012,10,10,50-59,-0.616313980353343,0.5399309703105598,0.5275221981167515,0.552631630936566,0,104590,7477,TRUE,Adjusted: Sex
2003,2012,10,10,60-69,-0.5430006033392738,0.5810022768220043,0.5693076470357528,0.5929371358877141,0,70000,10564,TRUE,Adjusted: Sex
2003,2012,10,10,70-79,-0.3778137724768422,0.6853581213276725,0.673340516361254,0.6975902133561638,0,41638,14145,TRUE,Adjusted: Sex
2003,2012,10,10,80-89,-0.1801688586265874,0.8351291807380017,0.8210466987313928,0.849453203572645,9.128804825513714e-96,24234,15757,TRUE,Adjusted: Sex
2004,2013,10,10,18-29,-0.38959423817375166,0.6773316540757967,0.6292163185733409,0.7291263053273465,3.661857135336004e-25,134014,1216,TRUE,Adjusted: Sex
2004,2013,10,10,30-39,-0.5822079033624352,0.5586635287821232,0.5286914158049352,0.5903347946667774,3.9395464053686644e-95,114235,1725,TRUE,Adjusted: Sex
2004,2013,10,10,40-49,-0.6446071152200976,0.5248687145323234,0.5072834578494886,0.5430635736924639,7.450462898772816e-301,119992,3630,TRUE,Adjusted: Sex
2004,2013,10,10,50-59,-0.6264552454183018,0.5344830582747756,0.5218924543370246,0.5473774092895344,0,108773,7237,TRUE,Adjusted: Sex
2004,2013,10,10,60-69,-0.5495048072638413,0.577235582486011,0.5653926520200376,0.5893265794974564,0,74281,10336,TRUE,Adjusted: Sex
2004,2013,10,10,70-79,-0.38838935249490153,0.6781482531410926,0.6659383859431777,0.6905819861802588,0,43133,13626,TRUE,Adjusted: Sex
2004,2013,10,10,80-89,-0.1806772760006572,0.8347046944701624,0.8204720226360391,0.8491842594852219,3.332639043883522e-94,25270,15712,TRUE,Adjusted: Sex
2005,2014,10,10,18-29,-0.37403781091240923,0.6879508992860087,0.637771054090163,0.7420788961700355,3.6881308294680186e-22,137812,1149,TRUE,Adjusted: Sex
2005,2014,10,10,30-39,-0.5970049324323949,0.5504578280234577,0.5195150717549905,0.5832435609783477,5.898195304607296e-91,116413,1609,TRUE,Adjusted: Sex
2005,2014,10,10,40-49,-0.6510457583778957,0.5215001283742363,0.5030869866474095,0.5405871968716831,5.278003678404015e-276,121671,3337,TRUE,Adjusted: Sex
2005,2014,10,10,50-59,-0.6269846507202468,0.5342001749964858,0.5211817713033629,0.5475437605053374,0,113575,6954,TRUE,Adjusted: Sex
2005,2014,10,10,60-69,-0.5609459262752375,0.5706689976583363,0.5586191470434713,0.5829787729474791,0,79242,10001,TRUE,Adjusted: Sex
2005,2014,10,10,70-79,-0.39709256213683924,0.6722717958386808,0.6597112463045438,0.6850714915227177,0,45134,12944,TRUE,Adjusted: Sex
2005,2014,10,10,80-89,-0.19045008325646273,0.826587017231428,0.8121710103304182,0.8412589077484824,6.836245071869507e-100,26357,15380,TRUE,Adjusted: Sex
1986,1995,10,10,18-29,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,30-39,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,40-49,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,50-59,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,60-69,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,70-79,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1986,1995,10,10,80-89,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,18-29,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,30-39,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,40-49,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,50-59,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,60-69,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,70-79,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1987,1996,10,10,80-89,NA,NA,NA,NA,NA,0,0,FALSE,Adjusted: Education
1988,1997,10,10,18-29,-0.39222474607178887,0.6755522691792201,0.5634535561790514,0.8099529471212888,2.2674149423647826e-5,14819,160,TRUE,Adjusted: Education
1988,1997,10,10,30-39,-0.6128736098845255,0.5417917318952651,0.47202140581590146,0.6218749343426113,2.9481614738051573e-18,15210,260,TRUE,Adjusted: Education
1988,1997,10,10,40-49,-0.6214673411837849,0.5371556684050863,0.4929062673920604,0.5853774463577913,1.4345951216042794e-45,13994,528,TRUE,Adjusted: Education
1988,1997,10,10,50-59,-0.5200458493051173,0.5944932902410707,0.5527000906326223,0.6394467417892508,1.9813070827549224e-44,9413,814,TRUE,Adjusted: Education
1988,1997,10,10,60-69,-0.4831766620482808,0.6168208449137671,0.5842163538623693,0.6512449578050753,4.247712049078534e-68,6716,1371,TRUE,Adjusted: Education
1988,1997,10,10,70-79,-0.33806063000162107,0.7131520481776462,0.6831964621677491,0.7444210735609692,8.738616630829039e-54,5199,2265,TRUE,Adjusted: Education
1988,1997,10,10,80-89,-0.1966989335486444,0.8214379034830245,0.7835682359439949,0.8611378030985098,3.131060832470969e-16,2304,1738,TRUE,Adjusted: Education
1989,1998,10,10,18-29,-0.36069106421961883,0.6971943534813954,0.6045360611225498,0.8040545432868794,7.143784749373379e-7,28235,298,TRUE,Adjusted: Education
1989,1998,10,10,30-39,-0.5271859999985674,0.5902636367138674,0.5350637017394173,0.6511582820775255,6.709393614204386e-26,28788,522,TRUE,Adjusted: Education
1989,1998,10,10,40-49,-0.595437007457249,0.5513215815732082,0.517640271929362,0.5871944336468896,1.6136822687036917e-76,26786,1037,TRUE,Adjusted: Education
1989,1998,10,10,50-59,-0.5038820025504732,0.60418067042807,0.573320050814598,0.6367024526706428,3.7804835034030725e-79,18402,1575,TRUE,Adjusted: Education
1989,1998,10,10,60-69,-0.5040033791020793,0.6041073415120419,0.5809114429968,0.6282294564315498,1.8975565206857567e-140,12987,2691,TRUE,Adjusted: Education
1989,1998,10,10,70-79,-0.3483604049409529,0.7058444405432861,0.6840253432431543,0.7283595252241417,7.795212670663564e-105,9933,4264,TRUE,Adjusted: Education
1989,1998,10,10,80-89,-0.20830776602332132,0.8119571054442856,0.7839617934999826,0.8409521312743377,2.703345197655501e-31,4493,3352,TRUE,Adjusted: Education
1990,1999,10,10,18-29,-0.41302013469894844,0.6616489605910981,0.5901044622158691,0.74186754224396,1.506500474387783e-12,41497,441,TRUE,Adjusted: Education
1990,1999,10,10,30-39,-0.5080233098275491,0.6016837464542774,0.556736591453203,0.6502596314035977,1.1922884252261945e-37,41810,806,TRUE,Adjusted: Education
1990,1999,10,10,40-49,-0.599163198393939,0.5492710747552301,0.5219963011265599,0.5779709797016694,1.2462897058142065e-117,39468,1572,TRUE,Adjusted: Education
1990,1999,10,10,50-59,-0.5387352012477278,0.5834857779488752,0.5588620225818258,0.6091944689599236,1.9369711370475425e-132,27545,2341,TRUE,Adjusted: Education
1990,1999,10,10,60-69,-0.48652115962326997,0.6147613350264107,0.5948799627098263,0.6353071589802466,5.494176765433103e-185,19012,3922,TRUE,Adjusted: Education
1990,1999,10,10,70-79,-0.3598074702929146,0.6978106624211841,0.6795739722297958,0.7165367428522329,3.04668369234001e-156,14612,6222,TRUE,Adjusted: Education
1990,1999,10,10,80-89,-0.2031011619031803,0.8161956693418276,0.7930068471362614,0.840062570781165,2.180668252217836e-43,6646,4941,TRUE,Adjusted: Education
1991,2000,10,10,18-29,-0.42934227096273897,0.6509370941823248,0.592045116598078,0.7156871811007256,7.074864616167237e-19,55639,601,TRUE,Adjusted: Education
1991,2000,10,10,30-39,-0.5267978765213831,0.5904927763533646,0.5515156794038173,0.6322244896145582,1.1945216350304734e-51,55079,1071,TRUE,Adjusted: Education
1991,2000,10,10,40-49,-0.6000022764576513,0.5488103867490004,0.5248547427815645,0.5738594244330543,5.305435291514731e-153,52697,2121,TRUE,Adjusted: Education
1991,2000,10,10,50-59,-0.5303613782251773,0.5883922990886569,0.5670242204111419,0.6105656251787734,9.667740686510965e-174,37058,3164,TRUE,Adjusted: Education
1991,2000,10,10,60-69,-0.4712211048204361,0.6242395407800074,0.6064678392730564,0.6425320174278643,2.2735042855872753e-224,25106,5084,TRUE,Adjusted: Education
1991,2000,10,10,70-79,-0.36709692648542525,0.6927424966947082,0.6769060509847482,0.7089494414013305,1.6465705336667878e-212,19293,8180,TRUE,Adjusted: Education
1991,2000,10,10,80-89,-0.20877147648678593,0.811580679721625,0.7913921790908139,0.8322841912010249,2.4701486103766372e-59,8854,6498,TRUE,Adjusted: Education
1992,2001,10,10,18-29,-0.43585672338379,0.6467103777724554,0.5932928147435638,0.704937431105353,3.8027118233366204e-23,69518,735,TRUE,Adjusted: Education
1992,2001,10,10,30-39,-0.530771247482825,0.5881511845899096,0.552935953150406,0.6256091939104175,1.0658586669955721e-63,68159,1306,TRUE,Adjusted: Education
1992,2001,10,10,40-49,-0.6036782923784798,0.5467966545532463,0.525382102493851,0.5690840628400003,9.342804433276763e-193,65900,2631,TRUE,Adjusted: Education
1992,2001,10,10,50-59,-0.5386321502274504,0.583545909851884,0.564406055280229,0.6033348255553198,6.282497705075266e-220,46814,3949,TRUE,Adjusted: Education
1992,2001,10,10,60-69,-0.4744131426243899,0.6222501214072378,0.6062764008204371,0.6386447057272135,5.663898089585205e-280,31216,6249,TRUE,Adjusted: Education
1992,2001,10,10,70-79,-0.3660758848750389,0.6934501768330692,0.6791015906466817,0.708101931099732,4.575235717759323e-258,23780,10021,TRUE,Adjusted: Education
1992,2001,10,10,80-89,-0.20943360600813257,0.8110434860601438,0.7928267538247714,0.8296787830471902,5.548016362715201e-73,11008,8067,TRUE,Adjusted: Education
1993,2002,10,10,18-29,-0.42480773574402275,0.653895493775418,0.6035233268272641,0.7084718978926499,2.8577742511811426e-25,82043,869,TRUE,Adjusted: Education
1993,2002,10,10,30-39,-0.5235804493094685,0.592395703503675,0.5596136219459592,0.6270981544539724,1.2139293426490341e-72,80075,1551,TRUE,Adjusted: Education
1993,2002,10,10,40-49,-0.5782440342129763,0.5608823926465205,0.5405719320813543,0.5819559612901637,2.4461780971687642e-207,78039,3097,TRUE,Adjusted: Education
1993,2002,10,10,50-59,-0.5349291923421955,0.5857107614837038,0.5680239805139273,0.60394826254946965,3.069721868184039e-256,55985,4690,TRUE,Adjusted: Education
1993,2002,10,10,60-69,-0.4739816232375332,0.6225186923407138,0.6077098900204622,0.6376883586682187,0,36970,7325,TRUE,Adjusted: Education
1993,2002,10,10,70-79,-0.3635805527447861,0.695182726083954,0.6818160130722888,0.7088114878203641,6.293046559671903e-295,28115,11779,TRUE,Adjusted: Education
1993,2002,10,10,80-89,-0.21054357341333785,0.8101437536556088,0.7933321519056125,0.8273116121799229,3.279903019031051e-86,13178,9645,TRUE,Adjusted: Education
1994,2003,10,10,18-29,-0.3936420910015414,0.674595456822463,0.6250104684276512,0.7281142530466044,5.207473580839272e-24,94145,1001,TRUE,Adjusted: Education
1994,2003,10,10,30-39,-0.4960535393698333,0.608929038523149,0.5772338777328547,0.6423645393320647,6.3768008980320615e-74,91331,1763,TRUE,Adjusted: Education
1994,2003,10,10,40-49,-0.5788168885381542,0.5605611807545718,0.54160937253371,0.5801761441072588,1.339145156321959e-238,89805,3548,TRUE,Adjusted: Education
1994,2003,10,10,50-59,-0.5334437534625212,0.5865814455349271,0.5701678439626671,0.603467550632992,4.317923277572299e-297,65085,5476,TRUE,Adjusted: Education
1994,2003,10,10,60-69,-0.47673105884852973,0.6208094680572623,0.6068701128003766,0.6350689999398862,0,42645,8354,TRUE,Adjusted: Education
1994,2003,10,10,70-79,-0.3620802027159382,0.6962265263441599,0.683580166981506,0.709106845691106,0,32167,13360,TRUE,Adjusted: Education
1994,2003,10,10,80-89,-0.21657197329513944,0.8052745745722739,0.7896845419633134,0.8211723871919007,1.5645264317423578e-104,15270,11143,TRUE,Adjusted: Education
1995,2004,10,10,18-29,-0.3970018660359173,0.6723327710343876,0.6247975679537159,0.723484498326767,2.629613053562055e-26,106629,1141,TRUE,Adjusted: Education
1995,2004,10,10,30-39,-0.4936695949196288,0.6103824232309868,0.5804963511458092,0.6418071394487544,8.955434890293087e-83,102831,1984,TRUE,Adjusted: Education
1995,2004,10,10,40-49,-0.5771009835879036,0.5615238761702538,0.5436809615696779,0.5799523724335096,8.5826172624587e-269,102040,4021,TRUE,Adjusted: Education
1995,2004,10,10,50-59,-0.5419924663041014,0.5815883020820387,0.5664401708339243,0.5971415350374921,0,74858,6244,TRUE,Adjusted: Education
1995,2004,10,10,60-69,-0.4819711309896319,0.6175648899945493,0.604513868637039,0.6308976735535757,0,48799,9458,TRUE,Adjusted: Education
1995,2004,10,10,70-79,-0.3628912659433851,0.695662071545877,0.6837439423179251,0.7077879419990201,0,36407,14999,TRUE,Adjusted: Education
1995,2004,10,10,80-89,-0.21102899837607655,0.8097505850888164,0.7951018082343568,0.8246692477127578,1.2194163572291706e-113,17619,12816,TRUE,Adjusted: Education
1996,2005,10,10,18-29,-0.3807822619108932,0.6833266596639703,0.6374456908630465,0.7325099698694792,6.76351159395933e-27,119517,1275,TRUE,Adjusted: Education
1996,2005,10,10,30-39,-0.48595257865050023,0.6151109760144884,0.5863683976181198,0.6452624567600068,3.8287698710444293e-88,114250,2198,TRUE,Adjusted: Education
1996,2005,10,10,40-49,-0.5784838430597249,0.560747904213181,0.5437582732151953,0.5782683732244275,2.7318420526439733e-297,114556,4475,TRUE,Adjusted: Education
1996,2005,10,10,50-59,-0.5387270909682031,0.583490510200823,0.5692643284962847,0.5980722108370061,0,85332,7097,TRUE,Adjusted: Education
1996,2005,10,10,60-69,-0.484761218758889,0.615844231258918,0.6035121603186937,0.6284282937639757,0,55279,10596,TRUE,Adjusted: Education
1996,2005,10,10,70-79,-0.3621942207036965,0.696147148521938,0.6848443634260385,0.7076364766599458,0,40643,16638,TRUE,Adjusted: Education
1996,2005,10,10,80-89,-0.2066529513537265,0.8133018563233239,0.7994409610002751,0.8274030751080528,9.329006355309123e-123,20058,14553,TRUE,Adjusted: Education
1997,2006,10,10,18-29,-0.3568424460155429,0.6998827583656154,0.6547742333066963,0.7480988874344162,8.827129011527458e-26,130435,1389,TRUE,Adjusted: Education
1997,2006,10,10,30-39,-0.47703973329910104,0.6206178696080946,0.5919519666920635,0.650671949329388,5.271542911733115e-87,123582,2359,TRUE,Adjusted: Education
1997,2006,10,10,40-49,-0.5771368902242954,0.5615037140985851,0.5450307033872516,0.5784746051682348,8.79877897e-316,124557,4826,TRUE,Adjusted: Education
1997,2006,10,10,50-59,-0.5406612338669495,0.5823630468631144,0.5686707163814028,0.5963850583159395,0,93762,7795,TRUE,Adjusted: Education
1997,2006,10,10,60-69,-0.4831906421653109,0.6168122217464452,0.6047376934333295,0.6291278367911595,0,60543,11467,TRUE,Adjusted: Education
