start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
1992,2001,10,10,18-29,-0.4611619669512766,0.6305505407781833,0.5964458537179478,0.6666053288781466,2.056242299173465e-59,151415,1711,TRUE,Unadjusted
1992,2001,10,10,30-39,-0.5613307165986241,0.5704494519924135,0.5491878270428431,0.592534213714571,1.8447456925731707e-184,152078,2983,TRUE,Unadjusted
1992,2001,10,10,40-49,-0.5946145889499789,0.551775185145771,0.5378083266544853,0.5661047623352387,0,136844,5652,TRUE,Unadjusted
1992,2001,10,10,50-59,-0.5420661307280625,0.5815454612927238,0.5696457721631022,0.5936937305194887,0,93770,8626,TRUE,Unadjusted
1992,2001,10,10,60-69,-0.4717826712213449,0.6238890872384635,0.6140532438323015,0.6338824801999486,0,70612,15171,TRUE,Unadjusted
1992,2001,10,10,70-79,-0.35517624207129206,0.7010498778376346,0.6917151482073484,0.7105105800991353,0,52371,22678,TRUE,Unadjusted
1992,2001,10,10,80-89,-0.19666767017506934,0.82146358480451,0.8090864270839401,0.8340300845139106,3.28515451639905e-142,22396,16428,TRUE,Unadjusted
1993,2002,10,10,18-29,-0.4627093781456028,0.6295755743443265,0.5942310379843263,0.6670223843498451,1.6043203347937483e-55,143036,1592,TRUE,Unadjusted
1993,2002,10,10,30-39,-0.5605840610263388,0.570875540305262,0.5489681276855566,0.5936572017264661,1.8069647459915146e-173,143413,2846,TRUE,Unadjusted
1993,2002,10,10,40-49,-0.5957499450263294,0.5511490793303132,0.5369213610473633,0.5657538136573707,0,132540,5423,TRUE,Unadjusted
1993,2002,10,10,50-59,-0.5501598743594615,0.5768575782720818,0.5647529235757146,0.5892216785759026,0,91816,8230,TRUE,Unadjusted
1993,2002,10,10,60-69,-0.4801995585239245,0.618659920626116,0.6084956189670607,0.6289940066270728,0,66580,13929,TRUE,Unadjusted
1993,2002,10,10,70-79,-0.3579609513231466,0.6991003734181085,0.6895095776324361,0.708824573244546,0,49960,21398,TRUE,Unadjusted
1993,2002,10,10,80-89,-0.201571857112301,0.8174448362242361,0.8048968200968759,0.8301884708517584,7.245738549036712e-144,21889,16028,TRUE,Unadjusted
1994,2003,10,10,18-29,-0.45534131267310446,0.634231459766937,0.59684467825387,0.6739601762638177,7.596903425505934e-49,137915,1526,TRUE,Unadjusted
1994,2003,10,10,30-39,-0.544618942820815,0.5800627783173667,0.5569778423612207,0.6041045104466605,2.889996721829777e-152,136971,2720,TRUE,Unadjusted
1994,2003,10,10,40-49,-0.6022674418384032,0.5475686473638174,0.5332373513183147,0.562285111563494,0,129619,5247,TRUE,Unadjusted
1994,2003,10,10,50-59,-0.5551397139534842,0.5739920608939199,0.5617452744889417,0.58650584336288,0,91251,8018,TRUE,Unadjusted
1994,2003,10,10,60-69,-0.48645693643057486,0.6148008182299467,0.6042927235524577,0.6254916390092858,0,63877,13023,TRUE,Unadjusted
1994,2003,10,10,70-79,-0.361892693176051,0.6963570877001394,0.6865158068127102,0.7063394444499802,0,48026,20349,TRUE,Unadjusted
1994,2003,10,10,80-89,-0.20885068435175058,0.8115163986945526,0.7988690031104132,0.8243640231202656,1.0373715166825156e-149,21725,15837,TRUE,Unadjusted
1995,2004,10,10,18-29,-0.46267624967172405,0.629596431567778,0.5908445487369804,0.6708899447244235,3.137103568493417e-46,133085,1467,TRUE,Unadjusted
1995,2004,10,10,30-39,-0.549365852732915,0.5773157975586042,0.5537325280805677,0.6019034700129323,5.818901914328978e-147,130030,2574,TRUE,Unadjusted
1995,2004,10,10,40-49,-0.6069749359010125,0.5449970288958434,0.5305200389487383,0.5598690712868561,0,126361,5075,TRUE,Unadjusted
1995,2004,10,10,50-59,-0.5724868034761896,0.5641208352828964,0.5519583224286773,0.5765513515586023,0,90607,7798,TRUE,Unadjusted
1995,2004,10,10,60-69,-0.4987955135953698,0.6072616577964987,0.5965356103120708,0.6181805656779413,0,61232,12140,TRUE,Unadjusted
1995,2004,10,10,70-79,-0.363106995488903,0.6955120128699753,0.6853845298441228,0.7057891431492641,0,45704,19035,TRUE,Unadjusted
1995,2004,10,10,80-89,-0.20836300646473713,0.8119122538141934,0.7990980193970691,0.8249319756680416,2.4932507423408505e-145,21565,15663,TRUE,Unadjusted
1996,2005,10,10,18-29,-0.4446175122462479,0.6410694303514819,0.6009036423307816,0.6839199924585334,2.4071078266858633e-41,130387,1418,TRUE,Unadjusted
1996,2005,10,10,30-39,-0.5512450476371512,0.576231927374323,0.551980014211168,0.6015493778339936,2.521970669366912e-139,125459,2451,TRUE,Unadjusted
1996,2005,10,10,40-49,-0.6215796327273956,0.5370953537523979,0.5224634356748787,0.5521370479252542,0,124969,4913,TRUE,Unadjusted
1996,2005,10,10,50-59,-0.5742319098109384,0.5631372429259258,0.5509662396309144,0.5755771071974399,0,92141,7790,TRUE,Unadjusted
1996,2005,10,10,60-69,-0.505472101507427,0.6032207267791694,0.5923382939620137,0.6143030915359399,0,60503,11671,TRUE,Unadjusted
1996,2005,10,10,70-79,-0.36618235729234694,0.6933763474469254,0.6830606001888068,0.7038478856282272,0,44610,18321,TRUE,Unadjusted
1996,2005,10,10,80-89,-0.20290418735614793,0.8163564549489022,0.8034210027869234,0.8295001739125385,7.7190681467625645e-137,21982,15886,TRUE,Unadjusted
1997,2006,10,10,18-29,-0.42264527144793085,0.6553110494267358,0.6139371119694427,0.6994732247464197,5.790115340450254e-37,131728,1405,TRUE,Unadjusted
1997,2006,10,10,30-39,-0.5463370138693898,0.5790670448669216,0.5539213263025127,0.6053542742056875,1.5598044150684273e-128,125135,2400,TRUE,Unadjusted
1997,2006,10,10,40-49,-0.6250814890258142,0.5352178123637674,0.5205214131245344,0.5503291496730839,0,126342,4902,TRUE,Unadjusted
1997,2006,10,10,50-59,-0.5834965537124038,0.5579440704948925,0.5459349665938796,0.5702173424476517,0,95103,7913,TRUE,Unadjusted
1997,2006,10,10,60-69,-0.5089222443123999,0.6011431152180525,0.5901530866664808,0.6123378037642819,0,61593,11649,TRUE,Unadjusted
1997,2006,10,10,70-79,-0.3646963357059989,0.6944074856237376,0.6839330809039331,0.7050423053860331,0,44828,18175,TRUE,Unadjusted
1997,2006,10,10,80-89,-0.1987132381248868,0.819784942697074,0.8066770263974428,0.8331058531245852,5.489028098705393e-129,22621,16267,TRUE,Unadjusted
1998,2007,10,10,18-29,-0.42931764972136516,0.6509531212589423,0.6081188805108485,0.69680448947876406,4.19591896709302e-35,127950,1341,TRUE,Unadjusted
1998,2007,10,10,30-39,-0.5384288654535924,0.5836645479084507,0.5572107991819707,0.6113741962382965,1.3711026181767672e-114,119253,2280,TRUE,Unadjusted
1998,2007,10,10,40-49,-0.6262497060364944,0.5345929268829359,0.5194785387860029,0.5501470727571173,0,122289,4713,TRUE,Unadjusted
1998,2007,10,10,50-59,-0.5931261798665575,0.5525970638374736,0.5404874006161828,0.5649780450268908,0,94435,7750,TRUE,Unadjusted
1998,2007,10,10,60-69,-0.512415142211853,0.5990470465017063,0.5876697142856669,0.6106446447706108,0,60386,11128,TRUE,Unadjusted
1998,2007,10,10,70-79,-0.36887259209990064,0.6915135091220436,0.6806995135066316,0.7024993022763838,0,42919,17080,TRUE,Unadjusted
1998,2007,10,10,80-89,-0.19424952950889798,0.8234524029566118,0.8095751587550587,0.8375675224246512,3.891013216291346e-111,22163,15758,TRUE,Unadjusted
1999,2008,10,10,18-29,-0.4242502778509822,0.6542601146005829,0.6088767090501481,0.7030262304251029,6.0830409950761526e-31,125500,1295,TRUE,Unadjusted
1999,2008,10,10,30-39,-0.5425859000997035,0.5812432703153375,0.5541097257431656,0.60970548537793,1.2668887637635504e-109,114847,2167,TRUE,Unadjusted
1999,2008,10,10,40-49,-0.6251190651186614,0.5351977013474056,0.5196730047805964,0.551186182257974,0,119284,4489,TRUE,Unadjusted
