age_group,Unadjusted,Adjusted: Sex,Adjusted: Education,Adjusted: Race/Ethnicity
18-29,"0.698 (0.647, 0.753)","0.688 (0.638, 0.742)","0.743 (0.687, 0.804)","0.697 (0.646, 0.753)"
30-39,"0.557 (0.526, 0.590)","0.550 (0.520, 0.583)","0.597 (0.561, 0.634)","0.555 (0.524, 0.588)"
40-49,"0.525 (0.506, 0.544)","0.522 (0.503, 0.541)","0.551 (0.530, 0.572)","0.525 (0.506, 0.544)"
50-59,"0.537 (0.524, 0.550)","0.534 (0.521, 0.548)","0.554 (0.540, 0.569)","0.536 (0.523, 0.550)"
60-69,"0.572 (0.560, 0.584)","0.571 (0.559, 0.583)","0.590 (0.577, 0.604)","0.565 (0.553, 0.577)"
70-79,"0.675 (0.663, 0.688)","0.672 (0.660, 0.685)","0.680 (0.667, 0.694)","0.662 (0.650, 0.675)"
80-89,"0.828 (0.814, 0.843)","0.827 (0.812, 0.841)","0.818 (0.803, 0.833)","0.811 (0.796, 0.825)"
