survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
NHANES,sexFemale,sex,Sex,Female,Male,2017.5,-0.005074,0.031428,-0.07297,0.062821,5849
NHANES,age,age,Age,age,NA,2018.5,-0.006476,0.001142,-0.008839,-0.004114,9683
NHANES,sexFemale,sex,Sex,Female,Male,2018.5,0.002614,0.023252,-0.045486,0.050714,9683
NHANES,age,age,Age,age,NA,2022,-0.009545,0.001096,-0.011913,-0.007177,8150
NHANES,sexFemale,sex,Sex,Female,Male,2022,-0.057871,0.026504,-0.115129,-6.13e-4,8150
GSS,age,age,Age,age,NA,1972,-0.013951,0.001306,-0.016512,-0.01139,1585
GSS,sexFemale,sex,Sex,Female,Male,1972,-0.060782,0.040455,-0.140133,0.018569,1585
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1972,-0.236026,0.056034,-0.345935,-0.126118,1585
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1972,-0.293622,0.453251,-1.182658,0.595415,1585
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1972,0.227287,0.047359,0.134393,0.32018,1585
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1972,0.538187,0.064711,0.411259,0.665115,1585
GSS,age,age,Age,age,NA,1973,-0.01228,0.001452,-0.015128,-0.009431,1482
GSS,sexFemale,sex,Sex,Female,Male,1973,-0.108957,0.047231,-0.201604,-0.016309,1482
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1973,-0.200922,0.067101,-0.332546,-0.069298,1482
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1973,0.405586,0.192456,0.02807,0.783102,1482
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1973,0.355782,0.056058,0.245821,0.465744,1482
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1973,0.574374,0.073792,0.429626,0.719122,1482
GSS,age,age,Age,age,NA,1974,-0.013959,0.00136,-0.016626,-0.011292,1473
GSS,sexFemale,sex,Sex,Female,Male,1974,-0.159699,0.044399,-0.246792,-0.072607,1473
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1974,-0.299782,0.06795,-0.433072,-0.166492,1473
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1974,0.23867,0.203011,-0.159553,0.636892,1473
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1974,0.356486,0.05375,0.25105,0.461921,1473
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1974,0.470716,0.067051,0.33919,0.602242,1473
GSS,age,age,Age,age,NA,1975,-0.011919,0.001418,-0.014699,-0.009138,1484
GSS,sexFemale,sex,Sex,Female,Male,1975,-0.081881,0.045125,-0.170397,0.006635,1484
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1975,-0.191249,0.075677,-0.339696,-0.042803,1484
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1975,-0.111228,0.405478,-0.906601,0.684146,1484
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1975,0.311515,0.053868,0.20585,0.417181,1484
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1975,0.672994,0.07106,0.533605,0.812384,1484
GSS,age,age,Age,age,NA,1976,-0.012802,0.00138,-0.015509,-0.010096,1486
GSS,sexFemale,sex,Sex,Female,Male,1976,-0.108705,0.044995,-0.196966,-0.020445,1486
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1976,-0.280178,0.086239,-0.449343,-0.111014,1486
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1976,0.089015,0.29266,-0.485058,0.663089,1486
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1976,0.346984,0.055591,0.237938,0.456031,1486
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1976,0.582,0.067406,0.449778,0.714222,1486
GSS,age,age,Age,age,NA,1977,-0.012733,0.001544,-0.015763,-0.009703,1514
GSS,sexFemale,sex,Sex,Female,Male,1977,-0.018366,0.045551,-0.107716,0.070984,1514
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1977,-0.177608,0.075884,-0.326457,-0.028758,1514
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1977,-0.418818,0.250749,-0.910671,0.073035,1514
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1977,0.381706,0.057423,0.269069,0.494343,1514
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1977,0.649903,0.070418,0.511776,0.78803,1514
GSS,age,age,Age,age,NA,1980,-0.011492,0.001441,-0.01432,-0.008664,1453
GSS,sexFemale,sex,Sex,Female,Male,1980,-0.110244,0.046433,-0.201326,-0.019161,1453
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1980,-0.28795,0.084726,-0.454148,-0.121752,1453
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1980,0.333838,0.17515,-0.009736,0.677413,1453
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1980,0.324711,0.059551,0.207896,0.441526,1453
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1980,0.502536,0.074234,0.356918,0.648154,1453
GSS,age,age,Age,age,NA,1982,-0.012251,0.001329,-0.014857,-0.009645,1837
GSS,sexFemale,sex,Sex,Female,Male,1982,0.001347,0.043641,-0.084244,0.086938,1837
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1982,-0.166408,0.049954,-0.264381,-0.068436,1837
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1982,-0.042307,0.192534,-0.419916,0.335302,1837
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1982,0.218115,0.054625,0.110981,0.325249,1837
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1982,0.558701,0.068901,0.423567,0.693835,1837
GSS,age,age,Age,age,NA,1984,-0.009589,0.00128,-0.012099,-0.007079,1454
GSS,sexFemale,sex,Sex,Female,Male,1984,-0.066176,0.040998,-0.146597,0.014246,1454
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1984,-0.114493,0.070262,-0.252319,0.023332,1454
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1984,-0.131094,0.108556,-0.344039,0.081851,1454
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1984,0.358082,0.054222,0.25172,0.464444,1454
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1984,0.625512,0.06532,0.497381,0.753643,1454
GSS,age,age,Age,age,NA,1985,-0.011232,0.001344,-0.013868,-0.008596,1523
GSS,sexFemale,sex,Sex,Female,Male,1985,-0.013582,0.044659,-0.101181,0.074017,1523
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1985,-0.181578,0.088499,-0.355171,-0.007986,1523
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1985,-0.131807,0.126832,-0.380591,0.116977,1523
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1985,0.393101,0.060444,0.274538,0.511663,1523
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1985,0.610104,0.073185,0.46655,0.753659,1523
GSS,age,age,Age,age,NA,1987,-0.013518,0.00134,-0.016146,-0.01089,1796
GSS,sexFemale,sex,Sex,Female,Male,1987,-0.012768,0.041138,-0.09345,0.067915,1796
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1987,-0.138708,0.045,-0.226965,-0.05045,1796
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1987,-0.08923,0.136702,-0.357343,0.178882,1796
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1987,0.236091,0.056175,0.125916,0.346266,1796
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1987,0.514633,0.064931,0.387285,0.641981,1796
GSS,age,age,Age,age,NA,1988,-0.011074,0.001631,-0.014274,-0.007873,972
