survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2016,0.340739,0.076545,0.190616,0.490862,1874
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2016,0.747929,0.080967,0.589134,0.906724,1874
GSS,age,age,Age,age,NA,2018,-0.004465,0.001268,-0.006953,-0.001977,1567
GSS,sexFemale,sex,Sex,Female,Male,2018,0.020637,0.043468,-0.064624,0.105898,1567
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2018,-0.035973,0.061044,-0.155711,0.083765,1567
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2018,0.091864,0.070919,-0.047243,0.230971,1567
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2018,-0.180141,0.100736,-0.377732,0.017451,1567
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2018,0.193682,0.081431,0.033956,0.353408,1567
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2018,0.587422,0.085969,0.418794,0.75605,1567
GSS,age,age,Age,age,NA,2021,-0.002433,9.27e-4,-0.00425,-6.15e-4,3643
GSS,sexFemale,sex,Sex,Female,Male,2021,-0.018622,0.030125,-0.077686,0.040442,3643
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2021,-0.066814,0.047805,-0.160542,0.026914,3643
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2021,-0.001582,0.050895,-0.101367,0.098204,3643
