survey,slope,slope_se,slope_p,r_squared,n_years,year_min,year_max
BRFSS,1.7304675091872986e-4,1.4746696393362275e-5,6.161821476855896e-13,0.8162430515461132,33,1993,2025
CPS,2.25669297450103e-4,1.6019511350641765e-5,3.1029990860992955e-14,0.8763512283548547,30,1996,2025
GSS,1.7246691271632044e-4,1.8703972988788745e-5,2.921991064969421e-10,0.7391858923205696,32,1972,2024
MEPS,1.6500796982343686e-4,3.169189123455861e-5,3.198926002498898e-5,0.5520169594693035,24,2000,2023
NHANES,2.3319171754861655e-4,7.925245405082746e-5,0.014725137224344848,0.46402726654008003,12,1999.5,2022
NHIS,1.1548179600006132e-4,1.1436282791669925e-5,4.7863381649376465e-12,0.7390669924080574,38,1983,2024
