"period","age_slope","interaction","ci_10","ci_90","significant"
"1999",-0.0151196125297661,0,-0.0161664736272071,-0.0140949683179239,"ref"
"2003",-0.0131200734478946,0.00199953908187144,0.000927507676170686,0.00307972112159536,"*"
"2007",-0.0111497531148376,0.00396985941492848,0.00291546882255761,0.00500112126124168,"*"
"2011",-0.0105307888943845,0.00458882363538154,0.00354941149343191,0.00565673606467931,"*"
"2015",-0.00902691211666363,0.00609270041310246,0.00511288573030934,0.00706880672643203,"*"
"2019",-0.00761429312053848,0.00750531940922761,0.00624678265886626,0.00874130349665062,"*"
