"component","variance","pct_of_total","sd"
"cohort_4yr",0.0135975766029283,2.09341430190402,0.116608647204778
"period_4yr",0.00312248447554694,0.480721958733113,0.0558791953731167
"Residual",0.632820576460923,97.4258637393629,0.795500205192257
"Total",0.649540637539398,100,0.805940839974869
