"survey","effect","estimate","ci_90"
"CPS","Fixed Effects",NA,NA
"CPS","Age (linear)",-0.0147,"[-0.0166, -0.0127]"
"CPS","Age (quadratic)",-7.1e-05,"[-9e-05, -5.2e-05]"
"CPS","Log weight",-0.0121,"[-0.0169, -0.0073]"
"CPS","",NA,NA
"CPS","Variance Components",NA,NA
"CPS","Period variance",4e-04,"(0%)"
"CPS","Cohort variance",0.0047,"(0.4%)"
"CPS","Residual variance",1.0555,"(99.5%)"
"CPS","Total variance",1.0605,"(100%)"
