period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper
1,-0.0497675256523998,0.00235753695461716,6.528182727995169e-99,1,1995-1999,1997,-0.054388298083449436,-0.045146753221350165
2,-0.0292824393793578,0.00203652221405818,7.06590566159948e-47,2,2000-2004,2002,-0.03327402291891183,-0.025290855839803766
3,-0.0191331132491602,0.00181301692600552,4.9142202455931196e-26,3,2005-2009,2007,-0.02268662642413102,-0.01557960007418938
4,-0.00608950282521565,0.00191170090748388,0.00144562879410927,4,2010-2014,2012,-0.009836436603884054,-0.0023425690465472453
5,0.0416558873694752,0.00174732440409209,1.3198519185917396e-125,5,2015-2019,2017,0.03823113153745471,0.0450806432014957
6,0.0431536213761652,0.00176479154873033,4.844399326373608e-132,6,2020-2024,2022,0.03969462994065375,0.04661261281167665
7,0.019463072360493,0.00355307714605589,4.30656003741327e-8,7,2025-2029,2027,0.012499041154223456,0.026427103566762547
