period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper
1,-0.0725920839839776,0.00391547448129157,1.0533012443735498e-76,1,2000-2004,2002,-0.08026641396730907,-0.06491775400064612
2,-0.0415613916581102,0.00388346571497162,1.00195339454098e-26,2,2005-2009,2007,-0.049172984459454575,-0.03394979885676583
3,-0.00498604386998244,0.00391210259031349,0.202480673617649,3,2010-2014,2012,-0.01265376494699688,0.0026816772070319995
4,0.0536512000927136,0.00377016740041302,6.0674310808938704e-46,4,2015-2019,2017,0.046261671987904075,0.06104072819752312
5,0.0654883194193566,0.00483835440536843,9.870031752501259e-42,5,2020-2024,2022,0.05600514478483447,0.07497149405387872
