period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper,survey
1,-0.0274543259209351,0.0202380817318195,0.174924061351031,1,1970-1974,1972,-0.06712096611530131,0.01221231427343111,GSS
2,-0.0589915421596386,0.0183824050015252,0.00133211184759632,2,1975-1979,1977,-0.095021055962628,-0.0229620283566492,GSS
3,-0.0357070843253629,0.0168494006956529,0.0340787467450459,3,1980-1984,1982,-0.06873190968884259,-0.00268225896188321,GSS
4,0.0179432433821888,0.0160759707854751,0.264361384228642,4,1985-1989,1987,-0.0135656593573424,0.04945214612172,GSS
5,0.0445028175445748,0.015411244372159,0.00388235613265205,5,1990-1994,1992,0.01429677857514316,0.07470885651400644,GSS
6,0.070278642347059,0.0149347227700767,2.5356792710954e-6,6,1995-1999,1997,0.04100658571770867,0.09955069897640932,GSS
7,0.0547596293776203,0.0142941087881859,1.27801369638891e-4,7,2000-2004,2002,0.02674317615277593,0.08277608260246466,GSS
8,-0.00639858729279465,0.0154777936268649,0.679311952745874,8,2005-2009,2007,-0.03673506280144985,0.02393788821586055,GSS
9,-0.00415767591102127,0.0167559185974096,0.804033348702058,9,2010-2014,2012,-0.03699927636194408,0.02868392453990154,GSS
10,-0.016137185718077,0.0164859041978999,0.3276595370966,10,2015-2019,2017,-0.0484495579459608,0.0161751865098068,GSS
11,-0.0386379313236135,0.0119078324023288,0.00117622360894116,11,2020-2024,2022,-0.06197728283217794,-0.01529857981504904,GSS
1,0.0559454738156228,0.0105569068473184,1.16565850612283e-7,1,1999-2003,2002,0.03525393639487874,0.07663701123636686,NHANES
2,-9.55706552302333e-4,0.011364572311827,0.932980971312242,2,2004-2008,2007,-0.02323026828348325,0.02131885517887858,NHANES
3,-0.025120271752349,0.00987782862174592,0.0109898839346429,3,2009-2013,2012,-0.044480815850971,-0.00575972765372699,NHANES
4,-0.0361166859575969,0.010340059103434,4.78155048322854e-4,4,2014-2018,2017,-0.05638320180032753,-0.01585017011486626,NHANES
5,0.00624719044662543,0.0132526265762588,0.637362031844742,5,2019-2023,2021,-0.01972795764284181,0.03222233853609267,NHANES
1,-0.0725920839839776,0.00391547448129157,1.0533012443735498e-76,1,2000-2004,2002,-0.08026641396730907,-0.06491775400064612,MEPS
2,-0.0415613916581102,0.00388346571497162,1.00195339454098e-26,2,2005-2009,2007,-0.04917298445945457,-0.03394979885676583,MEPS
3,-0.00498604386998244,0.00391210259031349,0.202480673617649,3,2010-2014,2012,-0.01265376494699688,0.00268167720703199,MEPS
