period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper
1,0.0559454738156228,0.0105569068473184,1.16565850612283e-7,1,1999-2003,2002,0.03525393639487874,0.07663701123636686
2,-9.55706552302333e-4,0.011364572311827,0.932980971312242,2,2004-2008,2007,-0.023230268283483253,0.021318855178878587
3,-0.025120271752349,0.00987782862174592,0.0109898839346429,3,2009-2013,2012,-0.044480815850971,-0.005759727653726995
4,-0.0361166859575969,0.010340059103434,4.78155048322854e-4,4,2014-2018,2017,-0.056383201800327534,-0.015850170114866263
5,0.00624719044662543,0.0132526265762588,0.637362031844742,5,2019-2023,2021,-0.019727957642841815,0.03222233853609267
