period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper
1,-0.036664008217121,0.00564845499305831,8.5313074095597e-11,1,1980-1984,1982,-0.04773498000351529,-0.02559303643072671
2,0.0132232982028022,0.00402239731647918,0.00101113834680341,2,1985-1989,1987,0.005339399462503006,0.021107196943101394
3,0.0186455213509791,0.00453453721373073,3.92458366177816e-5,3,1990-1994,1992,0.009757828412066872,0.027533214289891333
4,0.0408364918829627,0.0042142181532901,3.32602033185875e-22,4,1995-1999,1997,0.0325766243025141,0.049096359463411295
5,0.00961820585147153,0.00342241430078916,0.00494873872477299,5,2000-2004,2002,0.002910273821924776,0.016326137881018284
6,-0.00670798244533741,0.00382482527660274,0.0794648664414839,6,2005-2009,2007,-0.01420463998747878,7.886750968039606e-4
7,0.018638451582445,0.00348915859762141,9.20356231516015e-8,7,2010-2014,2012,0.011799700731107036,0.025477202433782962
8,0.00891358877085242,0.00352047752882846,0.0113439185139768,8,2015-2019,2017,0.0020134528143486386,0.0158137247273562
9,-0.0665035669790544,0.00326835040404254,5.0399114706235284e-92,9,2020-2024,2022,-0.07290953377097777,-0.06009760018713101
