age,estimate,ci_lower_90,ci_upper_90,estimate_centered,ci_lower_centered,ci_upper_centered,survey
21,-0.5974977580106883,-0.660943299115661,-0.5353196622382334,0,0,0,brfss
21.686868686868685,-0.6146536063041879,-0.6804334827323065,-0.5501768850630621,-0.017155848293499587,-0.019490183616645562,-0.014857222824828709,brfss
22.373737373737374,-0.6316582438865023,-0.6997888716985833,-0.5648661171534801,-0.034160485875813995,-0.038845572582922316,-0.029546454915246767,brfss
23.060606060606062,-0.6485116707576315,-0.7190094660144911,-0.5793873585094874,-0.051013912746943224,-0.05806616689883015,-0.044067696271254064,brfss
23.747474747474747,-0.6652138869175754,-0.73809526568003,-0.5937406091310836,-0.06771612890688716,-0.07715196656436907,-0.05842094689285027,brfss
24.434343434343432,-0.6817648923663342,-0.7570462706952001,-0.6079258690182691,-0.08426713435564592,-0.09610297157953918,-0.07260620678003571,brfss
25.12121212121212,-0.6981646871039078,-0.7758624810600016,-0.6219431381710437,-0.1006669290932195,-0.11491918194434059,-0.08662347593281039,brfss
25.80808080808081,-0.7144132711302961,-0.7945438967744342,-0.6357924165894075,-0.1169155131196078,-0.1336005976587732,-0.1004727543511742,brfss
26.494949494949495,-0.7305106444454991,-0.8130905178384977,-0.6494737042733605,-0.1330128864348108,-0.15214721872283676,-0.11415404203512713,brfss
27.18181818181818,-0.7464568070495169,-0.8315023442521925,-0.6629870012229027,-0.14895904903882862,-0.17055904513653153,-0.1276673389846693,brfss
27.86868686868687,-0.7622517589423496,-0.8497793760155185,-0.676332307438034,-0.16475400093166137,-0.18883607689985749,-0.1410126451998006,brfss
28.555555555555557,-0.7778955001239971,-0.8679216131284756,-0.6895096229187544,-0.18039774211330883,-0.20697831401281463,-0.15418996068052104,brfss
29.242424242424242,-0.7933880305944593,-0.8859290555910639,-0.702518947665064,-0.195890272583771,-0.22498575647540298,-0.1671992854268306,brfss
29.929292929292927,-0.8087293503537363,-0.9038017034032833,-0.7153602816769628,-0.211231592343048,-0.2428584042876223,-0.1800406194387294,brfss
30.616161616161616,-0.8239194594018281,-0.9215395565651339,-0.7280336249544507,-0.22642170139113982,-0.2605962574494729,-0.19271396271621732,brfss
31.303030303030305,-0.8389583577387347,-0.9391426150766159,-0.7405389774975278,-0.24146059972804645,-0.27819931596095493,-0.2052193152592945,brfss
31.98989898989899,-0.8538460453644561,-0.9566108789377286,-0.7528763393061941,-0.2563482873537678,-0.2956675798220676,-0.21755667706796078,brfss
32.676767676767675,-0.868582522278992,-0.9739443481484727,-0.7650457103804493,-0.27108476426830375,-0.3130010490328118,-0.22972604814221598,brfss
33.36363636363636,-0.883167788482343,-0.9911430227088478,-0.7770470907202939,-0.28567003047165473,-0.33019972359318683,-0.24172742848206052,brfss
34.05050505050505,-0.8976018439745087,-1.0082069026188545,-0.7888804803257278,-0.30010408596382043,-0.3472636035031935,-0.2535608180874944,brfss
34.73737373737374,-0.9118846887554892,-1.025135987878492,-0.8005458791967507,-0.31438693074480095,-0.36419268876283106,-0.26522621695851734,brfss
35.42424242424242,-0.9260163228252843,-1.0419302784877607,-0.8120432873333626,-0.32851856481459607,-0.3809869793720997,-0.27672362509512927,brfss
36.111111111111114,-0.9399967461838947,-1.0585897744466608,-0.8233727047355639,-0.34249898817320645,-0.39764647533099984,-0.28805304249733055,brfss
36.7979797979798,-0.9538259588313194,-1.0751144757551916,-0.8345341314033543,-0.3563282008206311,-0.4141711766395306,-0.29921446916512096,brfss
37.484848484848484,-0.9675039607675591,-1.091504382413354,-0.8455275673367337,-0.3700062027568708,-0.43056108329769294,-0.3102079050985004,brfss
38.17171717171717,-0.9810307519926132,-1.107759494421147,-0.8563530125357024,-0.383532993981925,-0.4468161953054861,-0.32103335029746904,brfss
38.858585858585855,-0.9944063325064825,-1.1238798117785715,-0.8670104670002603,-0.3969085744957942,-0.4629365126629106,-0.33169080476202695,brfss
39.54545454545455,-1.0076307023091664,-1.1398653344856275,-0.8774999307304072,-0.41013294429847813,-0.4789220353699666,-0.34218026849217387,brfss
40.23232323232323,-1.0207038614006652,-1.1557160625423142,-0.8878214037261434,-0.4232061033899769,-0.4947727634266532,-0.35250174148791,brfss
40.91919191919192,-1.0336258097809785,-1.1714319959486323,-0.8979748859874688,-0.43612805177029024,-0.5104886968329714,-0.3626552237492354,brfss
41.60606060606061,-1.0463965474501071,-1.1870131347045816,-0.9079603775143833,-0.44889878943941885,-0.5260698355889206,-0.37264071527614995,brfss
42.292929292929294,-1.0590160744080501,-1.202459478810162,-0.9177778783068868,-0.46151831639736185,-0.5415161796945009,-0.3824582160686535,brfss
42.97979797979798,-1.0714843906548077,-1.2177710282653733,-0.9274273883649797,-0.47398663264411944,-0.5568277291497123,-0.3921077261267464,brfss
43.666666666666664,-1.0838014961903806,-1.2329477830702158,-0.9369089076886616,-0.4863037381796923,-0.5720044839545548,-0.4015892454504283,brfss
44.35353535353535,-1.0959673910147678,-1.2479897432246898,-0.9462224362779328,-0.49846963300407954,-0.5870464441090288,-0.41090277403969944,brfss
45.04040404040404,-1.1079820751279703,-1.2628969087287947,-0.9553679741327932,-0.510484317117282,-0.6019536096131337,-0.4200483118945598,brfss
45.72727272727273,-1.119845548529987,-1.2776692795825308,-0.9643455212532424,-0.5223477905192987,-0.6167259804668699,-0.429025859015009,brfss
46.41414141414141,-1.1315578112208189,-1.292306855785898,-0.9731550776392812,-0.5340600532101306,-0.6313635566702371,-0.43783541540104787,brfss
