cohort,estimate,std_error,ci_lower_90,ci_upper_90,model,start_year,end_year
1996,-0.08615927752637957,0.050235729477402624,-0.16978253156350698,-0.005529585546879488,1994-2024,1994,2024
2000,-0.1524742805299515,0.058006031267749454,-0.24932849014329198,-0.059222349532627325,1994-2024,1994,2024
2004,-0.17449139177211348,0.07649393978896342,-0.3034637995272673,-0.05399564033158069,1994-2024,1994,2024
NA,0.013597576602928315,0.005322986795978716,0.0069744453917206985,0.02333523721079721,1994-2024,1994,2024
1916,-0.06453108584877534,0.07106090857400416,-0.1833367431211737,0.04929065606790908,2004-2024,2004,2024
1920,-0.1434317939481086,0.06188969295491569,-0.24708947487339955,-0.04318078970590981,2004-2024,2004,2024
1924,-0.0848966176882916,0.061414937753929415,-0.18797190886337536,0.012719546261104652,2004-2024,2004,2024
1928,-0.05395006963734094,0.048493883763573165,-0.13403591548118127,0.025470546874054763,2004-2024,2004,2024
1932,-0.05760835701319831,0.04770113382093103,-0.1353570563607464,0.020249889610222047,2004-2024,2004,2024
1936,0.0310920349089969,0.03927660126805419,-0.03263772429680574,0.09666329007255789,2004-2024,2004,2024
1940,0.01191904939811371,0.03959919280357512,-0.05114118101316448,0.07899511621905285,2004-2024,2004,2024
1944,0.11333269991375064,0.034833616963822506,0.05848175894943476,0.17255396747990412,2004-2024,2004,2024
1948,0.12744334868569704,0.03587829457188107,0.07087329992303938,0.18877273456727203,2004-2024,2004,2024
1952,0.08146733345700172,0.03182360455964487,0.03141055999539441,0.1354833766666915,2004-2024,2004,2024
1956,0.10763047449724195,0.03228549603566549,0.05727856760986538,0.1626412250793536,2004-2024,2004,2024
1960,0.06628263555885382,0.030958372480407528,0.017559853691770832,0.119759963090655,2004-2024,2004,2024
1964,0.09317504779347917,0.038174996693553384,0.03168717880867751,0.157623563461608,2004-2024,2004,2024
1968,0.07183328428680939,0.030639084246242607,0.023550406333068888,0.12338435616378657,2004-2024,2004,2024
1972,0.03324422338813267,0.03146164276060356,-0.01737821028906113,0.08588225966556245,2004-2024,2004,2024
1976,0.06442054396524305,0.03057727632681158,0.015104204149582176,0.11497665166072868,2004-2024,2004,2024
1980,0.04861381844176611,0.03504747354837089,-0.007836258722979803,0.10690705760845891,2004-2024,2004,2024
1984,-0.020408777960925203,0.03318807770149597,-0.07509356295811039,0.03447715209011764,2004-2024,2004,2024
1988,-0.05622552537600423,0.03740502672985703,-0.11884430222807249,0.004405445481916424,2004-2024,2004,2024
1992,-0.07091068854368623,0.04024436026719818,-0.13705093833527104,-0.0057563730896332726,2004-2024,2004,2024
1996,-0.052832327901917046,0.046405121502476686,-0.13035079332760757,0.021746893519701924,2004-2024,2004,2024
2000,-0.11309987082338713,0.05419420965353892,-0.20469613227541644,-0.026950606281704734,2004-2024,2004,2024
2004,-0.129155656019243,0.07327762950351673,-0.2542348641317549,-0.01357627773807532,2004-2024,2004,2024
NA,0.00997051265684765,0.004830152425867065,0.004180730777416591,0.01894237806962457,2004-2024,2004,2024
1884,0.030635664509858954,0.0754875869900153,-0.09163000986801402,0.1536811450462034,1972-2014,1972,2014
1888,0.028513806432961412,0.06056357346463173,-0.06974135221237777,0.12768161922426607,1972-2014,1972,2014
1892,-0.02018113606299054,0.05920983565223484,-0.11769375334424147,0.07672564165896942,1972-2014,1972,2014
1896,-0.051576043275685386,0.044399975456744824,-0.12510464375024996,0.02073101089973658,1972-2014,1972,2014
1900,-0.13368716055205926,0.045280694499483146,-0.20851079553610236,-0.06003463523701187,1972-2014,1972,2014
1904,-0.12219826796467147,0.035213219394758945,-0.18143793801500055,-0.06547804178838337,1972-2014,1972,2014
1908,-0.06636870826723262,0.033870604749365284,-0.12175042700352978,-0.011171676432069046,1972-2014,1972,2014
1912,-0.08164884501098488,0.02824445306311069,-0.1278182188630846,-0.036042296726848326,1972-2014,1972,2014
1916,-0.06826388155096383,0.03321131024347586,-0.12362128668223922,-0.014513470447571194,1972-2014,1972,2014
1920,-0.01537527426642871,0.026086823207368395,-0.058262051530588124,0.02765487285200301,1972-2014,1972,2014
1924,0.03916678442867691,0.02693647758254283,-0.004708925633376954,0.08381911071359427,1972-2014,1972,2014
1928,0.05876863381028063,0.024896948958340586,0.017820260040579024,0.09979165104822649,1972-2014,1972,2014
1932,0.06423538809882744,0.027693355744957477,0.019179362831254494,0.10956626000049471,1972-2014,1972,2014
1936,0.09739873415383865,0.023778787309446863,0.05829301523476878,0.13681074306868765,1972-2014,1972,2014
1940,0.1124217533898905,0.0253521269594958,0.07146614417096962,0.15468994160848892,1972-2014,1972,2014
1944,0.14413141348821776,0.0226590978834563,0.107259723426174,0.18196078900983365,1972-2014,1972,2014
1948,0.08055640571515715,0.02407920362359971,0.04176105726537829,0.12080726961739822,1972-2014,1972,2014
1952,0.06381035706895505,0.022670335690276194,0.026785909279412205,0.10138746368698195,1972-2014,1972,2014
1956,0.04257012709032411,0.024647315986335266,0.0022969853858619605,0.08299239274315469,1972-2014,1972,2014
1960,0.06074611796923955,0.02439288649308442,0.021359325812458703,0.10143757907105484,1972-2014,1972,2014
1964,0.04006376412393384,0.027839146264684443,-0.0052683423362492885,0.08628205575013673,1972-2014,1972,2014
1968,0.019146807890420857,0.026943880700047444,-0.0246120752663964,0.06405537150023445,1972-2014,1972,2014
1972,-0.010397159066138415,0.031546433813851686,-0.06111855512105278,0.041166161742216184,1972-2014,1972,2014
1976,-0.02176287221270043,0.031103145705676384,-0.07228276826342557,0.02927227416931506,1972-2014,1972,2014
1980,-0.02458557762664328,0.03428281863024368,-0.08083132624001627,0.03272013980188847,1972-2014,1972,2014
1984,-0.1020311828779239,0.03965241503417445,-0.16797568010403327,-0.037351780542914624,1972-2014,1972,2014
1988,-0.04221627164114113,0.04765275408644051,-0.12217806839238102,0.03677496190370368,1972-2014,1972,2014
1992,-0.1168625914202572,0.062924652564855,-0.2228957721425839,-0.015957455431704418,1972-2014,1972,2014
NA,0.007608969265491622,0.0027898824628797285,0.004082938831814182,0.01287863572598708,1972-2014,1972,2014
1904,3.2066176939039837e-4,0.019717627846697557,-0.03159833283438805,0.03223137307574291,1994-2014,1994,2014
1908,0.005279611843603481,0.01873721734649457,-0.02214627565954235,0.03944313657695649,1994-2014,1994,2014
1912,-0.011274451371625568,0.020962186561171707,-0.052204835926824476,0.01400546571554325,1994-2014,1994,2014
1916,-0.004452410570247352,0.018976224885098356,-0.03822872335072029,0.0234808954282218,1994-2014,1994,2014
1920,-0.011413276068160921,0.018958011548334833,-0.04858526631238338,0.012010158325950857,1994-2014,1994,2014
1924,4.401004212621933e-4,0.01683485592673451,-0.02708219741702679,0.02813179307484858,1994-2014,1994,2014
1928,0.004547406993166798,0.01556592481472797,-0.018379182035230163,0.033003292112774314,1994-2014,1994,2014
1932,-0.006010430886688221,0.016427030984916418,-0.036076016232704865,0.017887271171070623,1994-2014,1994,2014
1936,2.536190936389656e-4,0.014420724595440922,-0.023456005080863113,0.025072162813343554,1994-2014,1994,2014
1940,0.006363563209667651,0.016411863190616334,-0.01686464349394371,0.03713200025597892,1994-2014,1994,2014
1944,0.01745495326825366,0.018326537159313587,-0.003885177975455937,0.05272406155904906,1994-2014,1994,2014
1948,0.0030142262637497686,0.01460895547193607,-0.01857075156266939,0.02961187878528918,1994-2014,1994,2014
1952,-0.0049252817193293314,0.012711919909729585,-0.027114956027896424,0.014803521198021793,1994-2014,1994,2014
1956,-0.003434983984424608,0.014089803315902488,-0.027564201523998022,0.018810151514550434,1994-2014,1994,2014
1960,0.013819502372572243,0.015697235084299946,-0.005453137704895272,0.04357690859003033,1994-2014,1994,2014
1964,0.005611611660196965,0.01484612399173751,-0.01564691019157167,0.0331508579656261,1994-2014,1994,2014
1968,0.011798320732188375,0.015114440160391606,-0.0074116964731422985,0.04023835658089788,1994-2014,1994,2014
1972,4.400206954735833e-4,0.014333557170078394,-0.023364380053072543,0.02507672818255801,1994-2014,1994,2014
1976,-0.003089968918071451,0.01413037070087445,-0.027740745908283158,0.019044147564128203,1994-2014,1994,2014
1980,4.396628845031517e-4,0.01515516168448341,-0.024060719678637373,0.025933767734759965,1994-2014,1994,2014
1984,-0.016084343234479763,0.02134419133209606,-0.05861817195302666,0.008158562047186572,1994-2014,1994,2014
1988,-2.816671196872593e-4,0.017752523805906795,-0.02979085634944215,0.028815214523445192,1994-2014,1994,2014
1992,-0.008593968047189824,0.020661892724410047,-0.04778130941131658,0.017775675350201036,1994-2014,1994,2014
NA,4.068749948805505e-4,5.129069345286169e-4,4.255935357221824e-6,0.00135261688180583,1994-2014,1994,2014
