"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.55246992480425,0.103916106121239,3149,1.00231160533989
"lnWt",-0.0149160225710618,0.00190276556902018,11352,0.99998756618012
"sigma",1.06776995598599,0.0016569942186273,13357,0.999898645913179
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0214832780573159,0.00713195050522753,2920,1.00001302565784
"Sigma[age_group:(Intercept),(Intercept)]",0.116200568108246,0.0633228472383094,3175,1.00054884688085
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00254822263671928,0.00271676143912285,4040,0.99997689954075
"mean_PPD",3.45120773391216,0.00336325445161917,9558,0.999982406660021
"log-posterior",-297032.286182846,7.13369261131337,1850,1.00149301085692
