survey,age_group,year,mean_srh,se,ci_lower,ci_upper
NHIS,50-59,1985,3.5686,0.028,3.5137,3.6235
NHIS,50-59,1987,3.5682,0.0196,3.5298,3.6066
NHIS,50-59,1988,3.6031,0.0185,3.5669,3.6393
NHIS,50-59,1989,3.6281,0.0211,3.5866,3.6695
NHIS,50-59,1990,3.6341,0.0203,3.5944,3.6738
NHIS,50-59,1991,3.5933,0.0197,3.5547,3.632
NHIS,50-59,1992,3.6009,0.0258,3.5503,3.6514
NHIS,50-59,1993,3.5774,0.0189,3.5403,3.6144
NHIS,50-59,1997,3.6295,0.018,3.5941,3.6649
NHIS,50-59,1998,3.6354,0.0175,3.6011,3.6698
NHIS,50-59,1999,3.6635,0.02,3.6242,3.7027
NHIS,50-59,2000,3.6294,0.0187,3.5926,3.6661
NHIS,50-59,2001,3.5857,0.0186,3.5493,3.6222
NHIS,50-59,2002,3.594,0.022,3.5509,3.6371000000000002
NHIS,50-59,2003,3.5762,0.0191,3.5388,3.6136
NHIS,50-59,2004,3.5792,0.017,3.546,3.6125
NHIS,50-59,2005,3.594,0.0177,3.5593,3.6288
NHIS,50-59,2006,3.5553,0.0205,3.5151,3.5955
NHIS,50-59,2007,3.5437,0.0237,3.4971,3.5902
NHIS,50-59,2008,3.5488,0.0233,3.5032,3.5945
NHIS,50-59,2009,3.5614,0.0203,3.5216,3.6011
NHIS,50-59,2010,3.5258,0.0195,3.4875,3.564
NHIS,50-59,2011,3.5368,0.0183,3.501,3.5726
NHIS,50-59,2012,3.5712,0.0179,3.5361,3.6063
NHIS,50-59,2013,3.4911,0.0192,3.4534,3.5287
NHIS,50-59,2014,3.5519,0.0199,3.5129,3.5908
NHIS,50-59,2015,3.5416,0.0194,3.5035,3.5797
NHIS,50-59,2016,3.5368,0.0204,3.4969,3.5767
NHIS,50-59,2017,3.5441,0.0234,3.4981,3.59
NHIS,50-59,2018,3.589,0.0188,3.5522,3.6259
NHIS,50-59,2019,3.4955,0.0197,3.4569,3.5341
NHIS,50-59,2020,3.5155,0.0194,3.4774,3.5536
NHIS,50-59,2021,3.4945,0.019,3.4573,3.5318
NHIS,50-59,2022,3.4601,0.0191,3.4226,3.4977
NHIS,50-59,2023,3.4623,0.0203,3.4224,3.5022
NHIS,60-69,1983,3.2255,0.0196,3.1871,3.2638
NHIS,60-69,1984,3.1995,0.0197,3.1609,3.238
NHIS,60-69,1985,3.2626,0.0237,3.2161,3.3092
NHIS,60-69,1987,3.2899,0.0204,3.2498,3.3299
NHIS,60-69,1988,3.3294,0.0188,3.2925,3.3662
NHIS,60-69,1989,3.3278,0.022,3.2846,3.371
NHIS,60-69,1990,3.3694,0.0214,3.3274,3.4114
NHIS,60-69,1991,3.3443,0.0205,3.3042,3.3845
NHIS,60-69,1992,3.309,0.026,3.258,3.36
NHIS,60-69,1993,3.3549,0.022,3.3118,3.3981
NHIS,60-69,1997,3.3936,0.0211,3.3523,3.4349
NHIS,60-69,1998,3.4058,0.0235,3.3598,3.4518
NHIS,60-69,1999,3.4316,0.0238,3.3849,3.4783
NHIS,60-69,2000,3.4005,0.0225,3.3564,3.4447
NHIS,60-69,2001,3.4047,0.0228,3.36,3.4495
NHIS,60-69,2002,3.3836,0.0232,3.338,3.4291
NHIS,60-69,2003,3.4003,0.0234,3.3544,3.4463
NHIS,60-69,2004,3.3846,0.022,3.3414,3.4277
NHIS,60-69,2005,3.3852,0.0216,3.3427,3.4276
NHIS,60-69,2006,3.3863,0.0259,3.3356,3.4371
NHIS,60-69,2007,3.3972,0.025,3.3482,3.4463
NHIS,60-69,2008,3.3896,0.0255,3.3396,3.4396
NHIS,60-69,2009,3.41,0.0235,3.364,3.456
NHIS,60-69,2010,3.4489,0.0232,3.4033,3.4944
NHIS,60-69,2011,3.4627,0.0221,3.4194,3.5061
NHIS,60-69,2012,3.4277,0.0208,3.3869,3.4684
NHIS,60-69,2013,3.43,0.0209,3.389,3.4709
NHIS,60-69,2014,3.4426,0.0213,3.4009,3.4843
NHIS,60-69,2015,3.4499,0.021,3.4087,3.4911
NHIS,60-69,2016,3.4638,0.0192,3.4261,3.5015
NHIS,60-69,2017,3.4321,0.0226,3.3879,3.4764
NHIS,60-69,2018,3.4332,0.0211,3.3918,3.4747
NHIS,60-69,2019,3.3678,0.0184,3.3317,3.4038
NHIS,60-69,2020,3.3879,0.0188,3.3511,3.4248
NHIS,60-69,2021,3.4207,0.0185,3.3845,3.457
NHIS,60-69,2022,3.3384,0.0192,3.3007,3.3762
NHIS,60-69,2023,3.3516,0.0177,3.317,3.3862
NHIS,70-79,1983,3.11,0.0268,3.0575,3.1625
NHIS,70-79,1984,3.0859,0.0226,3.0415,3.1302
NHIS,70-79,1985,3.1169,0.0244,3.069,3.1648
NHIS,70-79,1987,3.1057,0.0208,3.065,3.1464
NHIS,70-79,1988,3.169,0.0228,3.1243,3.2136
NHIS,70-79,1989,3.2062,0.0212,3.1647,3.2477
NHIS,70-79,1990,3.2461,0.0212,3.2045,3.2878
NHIS,70-79,1991,3.2029,0.0245,3.155,3.2509
NHIS,70-79,1992,3.1967,0.0294,3.139,3.2543
NHIS,70-79,1993,3.1682,0.0266,3.116,3.2204
NHIS,70-79,1997,3.2109,0.0205,3.1707,3.2511
NHIS,70-79,1998,3.2054,0.0229,3.1606,3.2502
NHIS,70-79,1999,3.2123,0.0234,3.1664,3.2583
NHIS,70-79,2000,3.1571,0.0221,3.1137,3.2004
NHIS,70-79,2001,3.2329,0.0248,3.1842,3.2816
NHIS,70-79,2002,3.1766,0.0264,3.1249,3.2282
NHIS,70-79,2003,3.1848,0.0264,3.1331,3.2366
NHIS,70-79,2004,3.169,0.0251,3.1198,3.2183
NHIS,70-79,2005,3.1775,0.025,3.1285,3.2264
NHIS,70-79,2006,3.2053,0.0266,3.1531,3.2575
NHIS,70-79,2007,3.1941,0.0316,3.1322,3.256
NHIS,70-79,2008,3.2661,0.0309,3.2055,3.3266
NHIS,70-79,2009,3.2888,0.0292,3.2315,3.3461
NHIS,70-79,2010,3.3101,0.026,3.2591,3.3611
NHIS,70-79,2011,3.3107,0.0235,3.2646,3.3569
NHIS,70-79,2012,3.3621,0.0261,3.3109,3.4134
NHIS,70-79,2013,3.3499,0.0268,3.2973,3.4024
NHIS,70-79,2014,3.4039,0.0231,3.3586,3.4491
NHIS,70-79,2015,3.3489,0.0272,3.2956,3.4022
NHIS,70-79,2016,3.3863,0.0235,3.3401,3.4324
NHIS,70-79,2017,3.3805,0.0227,3.3359,3.425
NHIS,70-79,2018,3.3436,0.023,3.2984,3.3888
NHIS,70-79,2019,3.2438,0.0216,3.2014,3.2862
NHIS,70-79,2020,3.3091,0.0195,3.2707,3.3474
NHIS,70-79,2021,3.3077,0.0199,3.2686,3.3468
NHIS,70-79,2022,3.2953,0.0207,3.2547,3.3359
NHIS,70-79,2023,3.2463,0.0205,3.2062,3.2864
NHIS,80-89,1983,2.9706,0.041,2.8901,3.051
NHIS,80-89,1984,2.989,0.0322,2.9259,3.0522
NHIS,80-89,1985,3.1044,0.0394,3.0272,3.1816
NHIS,80-89,1987,3.0641,0.037,2.9915,3.1367
NHIS,80-89,1988,3.0592,0.0361,2.9884,3.13
NHIS,80-89,1989,3.1166,0.0349,3.0482,3.185
NHIS,80-89,1990,3.1507,0.0352,3.0817,3.2197
NHIS,80-89,1991,3.0636,0.0337,2.9975,3.1296
NHIS,80-89,1992,3.1081,0.0482,3.0137,3.2026
NHIS,80-89,1993,3.0287,0.0378,2.9544,3.1029
NHIS,80-89,1997,3.0311,0.0311,2.9701,3.0921
NHIS,80-89,1998,3.0533,0.0339,2.9867,3.1198
NHIS,80-89,1999,3.0285,0.0341,2.9616,3.0954
NHIS,80-89,2000,3.0665,0.0325,3.0027,3.1303
NHIS,80-89,2001,2.9688,0.0328,2.9045,3.033
NHIS,80-89,2002,3.0178,0.0362,2.9469,3.0888
NHIS,80-89,2003,3.0438,0.0307,2.9835,3.1041
NHIS,80-89,2004,3.0082,0.0287,2.9518,3.0646
NHIS,80-89,2005,3.0326,0.0303,2.9732,3.0921
NHIS,80-89,2006,3.0681,0.0334,3.0025,3.1337
NHIS,80-89,2007,3.0223,0.0367,2.9503,3.0944
NHIS,80-89,2008,3.0122,0.0411,2.9315,3.0928
NHIS,80-89,2009,3.0072,0.0354,2.9378,3.0766
NHIS,80-89,2010,3.143,0.0314,3.0815,3.2045
NHIS,80-89,2011,3.0649,0.0316,3.0028,3.1269
NHIS,80-89,2012,3.1529,0.0317,3.0909,3.215
NHIS,80-89,2013,3.1015,0.0336,3.0356,3.1674
NHIS,80-89,2014,3.1431,0.0313,3.0817,3.2045
NHIS,80-89,2015,3.1597,0.0298,3.1013,3.2181
NHIS,80-89,2016,3.1756,0.0317,3.1135,3.2377
NHIS,80-89,2017,3.139,0.033,3.0742,3.2038
NHIS,80-89,2018,3.1056,0.0346,3.0377,3.1735
NHIS,80-89,2019,3.0145,0.0293,2.957,3.072
NHIS,80-89,2020,3.0752,0.0282,3.0199,3.1305
NHIS,80-89,2021,3.0733,0.0294,3.0155,3.131
NHIS,80-89,2022,3.053,0.0314,2.9914,3.1146
NHIS,80-89,2023,3.0984,0.0269,3.0456,3.1513
GSS,18-29,1972,3.295,0.0355,3.2254,3.3646
GSS,18-29,1973,3.2463,0.0429,3.1623,3.3304
GSS,18-29,1974,3.3124,0.037,3.2399,3.3848
GSS,18-29,1975,3.2423,0.0397,3.1646,3.3201
GSS,18-29,1976,3.3168,0.0391,3.2402,3.3934
GSS,18-29,1977,3.2292,0.0448,3.1415,3.317
GSS,18-29,1980,3.2934,0.0403,3.2144,3.3724
GSS,18-29,1982,3.2204,0.0368,3.1483,3.2926
GSS,18-29,1984,3.2318,0.0359,3.1614,3.3022
GSS,18-29,1985,3.2796,0.0398,3.2016,3.3575
GSS,18-29,1987,3.3172,0.0363,3.246,3.3884
GSS,18-29,1988,3.1942,0.0518,3.0927,3.2958
GSS,18-29,1989,3.2848,0.0542,3.1786,3.3911
GSS,18-29,1990,3.24,0.0614,3.1197,3.3602
GSS,18-29,1991,3.2598,0.0611,3.14,3.3796
GSS,18-29,1993,3.2142,0.064,3.0887,3.3396
GSS,18-29,1994,3.248,0.0445,3.1609,3.3351
GSS,18-29,1996,3.195,0.0374,3.1217,3.2682
GSS,18-29,1998,3.2558,0.035,3.1872,3.3244
GSS,18-29,2000,3.2128,0.0363,3.1415,3.284
GSS,18-29,2002,3.1639,0.0471,3.0717,3.2561
GSS,18-29,2004,3.1555,0.0549,3.048,3.2631
GSS,18-29,2006,3.2176,0.0354,3.1482,3.2871
GSS,18-29,2008,3.1242,0.0551,3.0162,3.2323
GSS,18-29,2010,3.1273,0.0631,3.0035,3.251
GSS,18-29,2012,3.1793,0.063,3.0559,3.3027
GSS,18-29,2014,3.0427,0.0544,2.9361,3.1493
GSS,18-29,2016,2.97,0.0622,2.8482,3.0918
GSS,18-29,2018,2.9703,0.0562,2.8602,3.0804
GSS,18-29,2021,2.9951,0.0463,2.9043,3.0858
GSS,18-29,2022,3.0696,0.0437,2.9839,3.1552
GSS,30-39,1972,3.2469,0.0453,3.158,3.3357
GSS,30-39,1973,3.1976,0.0533,3.0932,3.302
GSS,30-39,1974,3.2058,0.0461,3.1154,3.2962
GSS,30-39,1975,3.1745,0.0558,3.0652,3.2839
GSS,30-39,1976,3.244,0.047,3.1518,3.3362
GSS,30-39,1977,3.2559,0.0447,3.1683,3.3434
GSS,30-39,1980,3.2266,0.0443,3.1397,3.3134
GSS,30-39,1982,3.1862,0.0426,3.1027,3.2696
GSS,30-39,1984,3.1636,0.0386,3.088,3.2392
GSS,30-39,1985,3.2291,0.0445,3.1418,3.3164
GSS,30-39,1987,3.1905,0.0369,3.1181,3.2629
GSS,30-39,1988,3.2912,0.0498,3.1936,3.3888
GSS,30-39,1989,3.3209,0.05,3.2228,3.4189
GSS,30-39,1990,3.2134,0.0465,3.1222,3.3046
GSS,30-39,1991,3.2549,0.0502,3.1566,3.3533
GSS,30-39,1993,3.1923,0.0455,3.1032,3.2814
GSS,30-39,1994,3.1922,0.035,3.1236,3.2608
GSS,30-39,1996,3.2196,0.0323,3.1564,3.2828
GSS,30-39,1998,3.2237,0.0298,3.1653,3.2822
GSS,30-39,2000,3.2407,0.0336,3.1748,3.3066
GSS,30-39,2002,3.1446,0.0393,3.0677,3.2216
GSS,30-39,2004,3.1626,0.0449,3.0746000000000002,3.2507
GSS,30-39,2006,3.0806,0.0359,3.0102,3.1511
GSS,30-39,2008,3.0867,0.0613,2.9667,3.2068
GSS,30-39,2010,3.0278,0.0647,2.901,3.1546
GSS,30-39,2012,3.0624,0.0633,2.9383,3.1864
GSS,30-39,2014,3.0913,0.0459,3.0013,3.1812
GSS,30-39,2016,3.0032,0.054,2.8973,3.1092
GSS,30-39,2018,2.9422,0.0495,2.8451,3.0393
GSS,30-39,2021,2.8885,0.0314,2.827,2.95
GSS,30-39,2022,2.8639,0.0487,2.7685,2.9594
GSS,40-49,1972,3.0647,0.0496,2.9676,3.1619
GSS,40-49,1973,2.9355,0.0659,2.8063,3.0647
GSS,40-49,1974,3.0872,0.0558,2.9778,3.1966
GSS,40-49,1975,3.0723,0.0583,2.9581,3.1865
GSS,40-49,1976,2.9685,0.0649,2.8412,3.0958
GSS,40-49,1977,3.0574,0.056,2.9477,3.1672
GSS,40-49,1980,2.9893,0.0593,2.873,3.1056
GSS,40-49,1982,3.0482,0.0589,2.9327,3.1636
GSS,40-49,1984,3.1013,0.0549,2.9936,3.2089
GSS,40-49,1985,3.1594,0.0572,3.0474,3.2714
GSS,40-49,1987,3.1407,0.051,3.0407,3.2406
GSS,40-49,1988,3.1201,0.0646,2.9934,3.2467
GSS,40-49,1989,3.1993,0.0624,3.0769,3.3217
GSS,40-49,1990,3.1405,0.0631,3.0169,3.264
GSS,40-49,1991,3.108,0.0589,2.9926,3.2235
GSS,40-49,1993,3.1201,0.0534,3.0155,3.2248
GSS,40-49,1994,3.0458,0.0432,2.9611,3.1304
GSS,40-49,1996,3.0897,0.0388,3.0136,3.1658
GSS,40-49,1998,3.0574,0.0388,2.9813,3.1334
GSS,40-49,2000,3.0806,0.035,3.0121000000000002,3.1491
GSS,40-49,2002,3.0228,0.0503,2.9242,3.1215
GSS,40-49,2004,3.1211,0.0538,3.0156,3.2265
GSS,40-49,2006,3.0065,0.0353,2.9374,3.0756
GSS,40-49,2008,3.0077,0.0517,2.9063,3.1091
GSS,40-49,2010,2.9921,0.0629,2.8687,3.1155
GSS,40-49,2012,3.0692,0.062,2.9476,3.1907
GSS,40-49,2014,2.8908,0.0546,2.7838,2.9978
GSS,40-49,2016,2.7653,0.0626,2.6426,2.8879
GSS,40-49,2018,2.9373,0.0555,2.8285,3.0461
GSS,40-49,2021,2.8974,0.0362,2.8263,2.9684
GSS,40-49,2022,2.8344,0.0431,2.7498,2.9189
GSS,50-59,1972,2.7848,0.0511,2.6848,2.8849
GSS,50-59,1973,2.8276,0.0595,2.711,2.9442
GSS,50-59,1974,2.8236,0.0645,2.6972,2.95
GSS,50-59,1975,2.8822,0.0595,2.7655,2.9989
GSS,50-59,1976,2.8208,0.0648,2.6937,2.9478
GSS,50-59,1977,2.8579,0.058,2.7442,2.9716
GSS,50-59,1980,2.7675,0.0754,2.6196,2.9153
GSS,50-59,1982,2.8067,0.0607,2.6877,2.9257
GSS,50-59,1984,3.0279,0.067,2.8966,3.1591
GSS,50-59,1985,2.8828,0.0722,2.7414,3.0243
GSS,50-59,1987,2.9269,0.0681,2.7934,3.0605
GSS,50-59,1988,2.8657,0.0945,2.6804,3.0509
GSS,50-59,1989,2.9086,0.0868,2.7385,3.0787
GSS,50-59,1990,2.9586,0.0881,2.7859,3.1314
GSS,50-59,1991,2.9573,0.0758,2.8087,3.1059
GSS,50-59,1993,2.9699,0.0846,2.804,3.1358
GSS,50-59,1994,2.954,0.0522,2.8518,3.0563
GSS,50-59,1996,2.9443,0.0557,2.8351,3.0535
GSS,50-59,1998,3.0102,0.0487,2.9147,3.1057
GSS,50-59,2000,3.0704,0.0511,2.9702,3.1706
GSS,50-59,2002,2.9172,0.0668,2.7862,3.0482
GSS,50-59,2004,2.9517,0.0653,2.8237,3.0798
GSS,50-59,2006,2.961,0.0374,2.8876,3.0344
GSS,50-59,2008,2.8458,0.0582,2.7316,2.9599
GSS,50-59,2010,2.8797,0.0653,2.7518,3.0077
GSS,50-59,2012,2.8368,0.0752,2.6895,2.9841
GSS,50-59,2014,2.834,0.054,2.7282,2.9398
GSS,50-59,2016,2.8411,0.0564,2.7305,2.9517
GSS,50-59,2018,2.9836,0.0593,2.8675,3.0998
GSS,50-59,2021,2.8873,0.036,2.8168,2.9579
GSS,50-59,2022,2.7907,0.0571,2.6788,2.9025
GSS,60-69,1972,2.5802,0.0612,2.4602,2.7001
GSS,60-69,1973,2.5755,0.0681,2.4421,2.7089
GSS,60-69,1974,2.6166,0.0769,2.4659,2.7673
GSS,60-69,1975,2.5896,0.0699,2.4526,2.7267
GSS,60-69,1976,2.5443,0.068,2.4109,2.6776
GSS,60-69,1977,2.5264,0.0762,2.3769,2.6758
GSS,60-69,1980,2.6415,0.0727,2.499,2.784
GSS,60-69,1982,2.6909,0.0664,2.5608,2.821
GSS,60-69,1984,2.8399,0.0662,2.7101,2.9697
GSS,60-69,1985,2.7533,0.066,2.6239,2.8827
GSS,60-69,1987,2.6382,0.0642,2.5124,2.764
GSS,60-69,1988,2.8553,0.0822,2.6941,3.0164
GSS,60-69,1989,2.7153,0.0905,2.5379,2.8926
GSS,60-69,1990,2.8255,0.1036,2.6226,3.0285
GSS,60-69,1991,2.8376,0.0948,2.6519,3.0234
GSS,60-69,1993,2.8278,0.0938,2.644,3.0116
GSS,60-69,1994,2.8186,0.0766,2.6685,2.9687
GSS,60-69,1996,2.8899,0.0618,2.7688,3.011
GSS,60-69,1998,2.8181,0.0553,2.7098,2.9264
GSS,60-69,2000,2.7914,0.0621,2.6697,2.913
GSS,60-69,2002,2.9087,0.0844,2.7432,3.0742
GSS,60-69,2004,2.926,0.0705,2.7877,3.0642
GSS,60-69,2006,2.7041,0.0514,2.6033,2.805
GSS,60-69,2008,2.845,0.0623,2.7228,2.9671
GSS,60-69,2010,2.7512,0.0673,2.6193,2.8831
GSS,60-69,2012,2.8298,0.0707,2.6912,2.9684
GSS,60-69,2014,2.8418,0.0561,2.7319,2.9517
GSS,60-69,2016,2.892,0.0541,2.786,2.998
GSS,60-69,2018,2.931,0.0678,2.7981,3.0638
GSS,60-69,2021,2.8823,0.0309,2.8217,2.9429
GSS,60-69,2022,2.8302,0.0483,2.7356,2.9248
GSS,70-79,1972,2.4978,0.0929,2.3157,2.6798
GSS,70-79,1973,2.4886,0.0896,2.313,2.6641
GSS,70-79,1974,2.3876,0.0927,2.2059,2.5692
GSS,70-79,1975,2.4583,0.1047,2.2531,2.6636
GSS,70-79,1976,2.5333,0.0927,2.3516,2.715
GSS,70-79,1977,2.534,0.0922,2.3533,2.7146
GSS,70-79,1980,2.6611,0.0936,2.4776,2.8446
GSS,70-79,1982,2.5418,0.0921,2.3613,2.7224
GSS,70-79,1984,2.4371,0.0905,2.2598,2.6144
GSS,70-79,1985,2.4615,0.0912,2.2827,2.6403
GSS,70-79,1987,2.451,0.0851,2.2843,2.6177
GSS,70-79,1988,2.5136,0.0978,2.3219,2.7053
GSS,70-79,1989,2.6788,0.096,2.4907,2.8669
GSS,70-79,1990,2.3901,0.1042,2.1858,2.5944
GSS,70-79,1991,2.5375,0.093,2.3551,2.7198
GSS,70-79,1993,2.7309,0.1005,2.5341,2.9278
GSS,70-79,1994,2.6754,0.0826,2.5136,2.8373
GSS,70-79,1996,2.7516,0.0676,2.6191,2.8842
GSS,70-79,1998,2.5819,0.0609,2.4626,2.7012
GSS,70-79,2000,2.6276,0.075,2.4806,2.7747
GSS,70-79,2002,2.8015,0.0726,2.6592,2.9438
GSS,70-79,2004,2.6771,0.1041,2.4731,2.881
GSS,70-79,2006,2.6699,0.0669,2.5388,2.801
GSS,70-79,2008,2.6289,0.0988,2.4353,2.8225
GSS,70-79,2010,2.8118,0.129,2.559,3.0645
GSS,70-79,2012,2.5824,0.1244,2.3386,2.8262
GSS,70-79,2014,2.7376,0.0967,2.5481,2.9271
GSS,70-79,2016,2.8139,0.083,2.6512,2.9766
GSS,70-79,2018,2.8599,0.0922,2.6792,3.0406
GSS,70-79,2021,2.8886,0.0345,2.8209,2.9563
GSS,70-79,2022,2.8423,0.0731,2.6991,2.9855
GSS,80-89,1972,2.5192,0.1694,2.1872,2.8513
GSS,80-89,1973,2.85,0.1278,2.5995,3.1005
GSS,80-89,1974,2.549,0.1922,2.1723,2.9258
GSS,80-89,1975,2.4063,0.1585,2.0955,2.717
GSS,80-89,1976,2.6133,0.1501,2.3192,2.9075
GSS,80-89,1977,2.0455,0.1631,1.7258,2.3651
GSS,80-89,1980,2.5614,0.1582,2.2514,2.8714
GSS,80-89,1982,2.3291,0.1307,2.0729,2.5854
GSS,80-89,1984,2.4203,0.1222,2.1808,2.6598
GSS,80-89,1985,2.6,0.141,2.3237,2.8763
GSS,80-89,1987,2.6825,0.1573,2.3741,2.9908
GSS,80-89,1988,2.214,0.1724,1.8761,2.552
GSS,80-89,1989,2.6109,0.1655,2.2866,2.9353
GSS,80-89,1990,2.5775,0.1505,2.2826,2.8724
GSS,80-89,1991,2.4998,0.1582,2.1897,2.81
GSS,80-89,1993,2.4705,0.1506,2.1753,2.7656
GSS,80-89,1994,2.6292,0.1213,2.3915,2.8669
GSS,80-89,1996,2.6667,0.1091,2.453,2.8805
GSS,80-89,1998,2.6561,0.0921,2.4755,2.8366
GSS,80-89,2000,2.5183,0.0996,2.3232,2.7134
GSS,80-89,2002,2.3355,0.1315,2.0777,2.5932
GSS,80-89,2004,2.6764,0.1338,2.4141,2.9387
GSS,80-89,2006,2.5648,0.0867,2.3949,2.7347
GSS,80-89,2008,2.5185,0.1234,2.2767,2.7603
GSS,80-89,2010,2.5477,0.1203,2.3119,2.7835
GSS,80-89,2012,2.7907,0.151,2.4948,3.0866
GSS,80-89,2014,2.6723,0.1048,2.467,2.8777
GSS,80-89,2016,2.6704,0.0807,2.5123,2.8286
GSS,80-89,2018,2.7225,0.1518,2.425,3.02
GSS,80-89,2021,2.8807,0.0604,2.7624,2.999
GSS,80-89,2022,2.5763,0.1098,2.3612,2.7914
CPS,18-29,1996,4.1229,0.0072,4.1088,4.137
CPS,18-29,1997,4.1264,0.0071,4.1124,4.1404
CPS,18-29,1998,4.0965,0.0073,4.0823,4.1108
CPS,18-29,1999,4.1069,0.0072,4.0928,4.121
CPS,18-29,2000,4.1074,0.0072,4.0932,4.1215
CPS,18-29,2001,4.114,0.0061,4.102,4.1259
CPS,18-29,2002,4.0847,0.0061,4.0728,4.0967
CPS,18-29,2003,4.0995,0.006,4.0877,4.1112
CPS,18-29,2004,4.1046,0.0063,4.0923,4.1169
CPS,18-29,2005,4.0968,0.0061,4.0848,4.1088
CPS,18-29,2006,4.0927,0.0061,4.0807,4.1048
CPS,18-29,2007,4.0927,0.0062,4.0806,4.1049
CPS,18-29,2008,4.1102,0.0062,4.098,4.1223
CPS,18-29,2009,4.0862,0.0062,4.0739,4.0984
CPS,18-29,2010,4.0643,0.0061,4.0524,4.0761
CPS,18-29,2011,4.0821,0.0061,4.07,4.0941
CPS,18-29,2012,4.0927,0.0062,4.0805,4.1049
CPS,18-29,2013,4.1072,0.0063,4.0949,4.1196
CPS,18-29,2014,4.1163,0.0072,4.1022,4.1304
CPS,18-29,2015,4.1208,0.0063,4.1086,4.1331
CPS,18-29,2016,4.1296,0.0065,4.1169,4.1423
CPS,18-29,2017,4.1188,0.0065,4.106,4.1317
CPS,18-29,2018,4.1263,0.0066,4.1134,4.1393
CPS,18-29,2019,4.0404,0.0069,4.0268,4.054
CPS,18-29,2020,4.0913,0.0075,4.0767,4.106
CPS,18-29,2021,4.0477,0.0073,4.0334,4.062
CPS,18-29,2022,4.0244,0.0077,4.0093,4.0395
CPS,18-29,2023,4.0053,0.0078,3.9901,4.0205
CPS,18-29,2024,4.0109,0.0079,3.9955,4.0263
CPS,30-39,1996,3.9939,0.0078,3.9786,4.0091
CPS,30-39,1997,3.9795,0.0077,3.9643,3.9947
CPS,30-39,1998,3.9741,0.0078,3.9588,3.9894
CPS,30-39,1999,3.988,0.0078,3.9727,4.0032
CPS,30-39,2000,4.0118,0.0077,3.9968,4.0269
CPS,30-39,2001,4.0065,0.0063,3.9943,4.0188
CPS,30-39,2002,3.971,0.0063,3.9586,3.9834
CPS,30-39,2003,3.9825,0.0065,3.9698,3.9951
CPS,30-39,2004,3.9703,0.0067,3.9571,3.9834
CPS,30-39,2005,3.9609,0.0068,3.9475,3.9742
CPS,30-39,2006,3.9693,0.0068,3.9559,3.9826
CPS,30-39,2007,3.9708,0.0068,3.9574,3.9841
CPS,30-39,2008,3.9709,0.0069,3.9574,3.9844
CPS,30-39,2009,3.9392,0.007,3.9256,3.9529
CPS,30-39,2010,3.9072,0.0069,3.8937,3.9206
CPS,30-39,2011,3.9236,0.0069,3.91,3.9372
CPS,30-39,2012,3.9349,0.0071,3.921,3.9489
CPS,30-39,2013,3.9378,0.0069,3.9242,3.9514
CPS,30-39,2014,3.9383,0.0078,3.9231,3.9535
CPS,30-39,2015,3.9452,0.0069,3.9316,3.9587
CPS,30-39,2016,3.9578,0.0071,3.9438,3.9717
CPS,30-39,2017,3.9559,0.0071,3.9421,3.9698
CPS,30-39,2018,3.9637,0.0071,3.9498,3.9776
CPS,30-39,2019,3.9278,0.0072,3.9137,3.9419
CPS,30-39,2020,3.9642,0.0078,3.949,3.9794
CPS,30-39,2021,3.9107,0.0075,3.896,3.9254
CPS,30-39,2022,3.8868,0.008,3.8712,3.9024
CPS,30-39,2023,3.8686,0.0079,3.8531,3.8842
CPS,30-39,2024,3.8519,0.0079,3.8363,3.8675
CPS,40-49,1996,3.8072,0.0087,3.7902,3.8243
CPS,40-49,1997,3.7485,0.009,3.731,3.7661
CPS,40-49,1998,3.7786,0.0086,3.7619,3.7954
CPS,40-49,1999,3.7963,0.0084,3.7799,3.8127
CPS,40-49,2000,3.8002,0.0084,3.7838,3.8166
CPS,40-49,2001,3.8121,0.0068,3.7989,3.8254
CPS,40-49,2002,3.7756,0.0068,3.7623,3.789
CPS,40-49,2003,3.7914,0.0068,3.7782,3.8047
CPS,40-49,2004,3.7921,0.007,3.7785,3.8057
CPS,40-49,2005,3.7689,0.0069,3.7554,3.7824
CPS,40-49,2006,3.7506,0.0069,3.7371,3.7642
CPS,40-49,2007,3.7696,0.0071,3.7557,3.7835
CPS,40-49,2008,3.7638,0.0071,3.7498,3.7778
CPS,40-49,2009,3.7242,0.0072,3.71,3.7384
CPS,40-49,2010,3.716,0.0071,3.7022,3.7298
CPS,40-49,2011,3.7201,0.0072,3.706,3.7342
CPS,40-49,2012,3.7308,0.0074,3.7164,3.7453
CPS,40-49,2013,3.744,0.0073,3.7297,3.7583
CPS,40-49,2014,3.7384,0.0084,3.722,3.7547
CPS,40-49,2015,3.7602,0.0075,3.7455,3.7748
CPS,40-49,2016,3.7495,0.0078,3.7342,3.7648
CPS,40-49,2017,3.7589,0.0077,3.7439,3.7739
CPS,40-49,2018,3.7629,0.0078,3.7476,3.7782
CPS,40-49,2019,3.7487,0.0079,3.7332,3.7641
CPS,40-49,2020,3.7921,0.0085,3.7755,3.8088
CPS,40-49,2021,3.7603,0.0082,3.7443,3.7764
CPS,40-49,2022,3.742,0.0083,3.7258,3.7582
CPS,40-49,2023,3.7488,0.0084,3.7324,3.7652
CPS,40-49,2024,3.7164,0.0083,3.7001,3.7327
CPS,50-59,1996,3.504,0.0118,3.4809,3.527
