"metric","original_with_lnWt","sensitivity_no_lnWt","difference"
"Age (linear)",-0.0171,-0.0170975948205563,2.40517944367566e-06
"Age (quadratic)",6.8e-05,0.115346057106559,0.115278057106559
"Period var %",0.134690212511224,0.143770366891977,0.00908015438075238
"Cohort var %",2.34959592936247,2.30707191425824,-0.0425240151042257
"Residual var %",97.5157138581263,97.5491577188498,0.0334438607234659
