"component","variance","pct_of_total"
"period_4yr",0.000937667422004768,0.0869779730019154
"cohort_4yr",0.00467678731838733,0.433818507040255
"Residual",1.07243713653332,99.4792035199578
"Total",1.07805159127371,100
