"metric","original_with_lnWt","sensitivity_no_lnWt","difference"
"Age (linear)",-0.0213,-0.0214498211623801,-0.000149821162380097
"Period var %",0.0573613766730402,0.0869779730019154,0.0296165963288753
"Cohort var %",0.401529636711281,0.433818507040255,0.0322888703289741
"Residual var %",99.5411089866157,99.4792035199578,-0.0619054666578478
"Original lnWt coef",-4e-04,NA,NA
