survey,year,coefficient,se,t_value,p_value,ci_lower,ci_upper,marginal_effect,marginal_se,n_unweighted
NHANES,2001.5,-0.007664,0.002014,-3.805167,0.001931,-0.011984,-0.003344,-0.009673,0.002542,5136
NHANES,2003.5,-0.012855,0.003217,-3.995859,0.001327,-0.019755,-0.005955,-0.014488,0.003626,4845
NHANES,2005.5,-0.008937,0.003956,-2.259148,0.040351,-0.017422,-4.52e-4,-0.008671,0.003838,4878
NHANES,2007.5,-0.016654,0.003185,-5.228753,1.02e-4,-0.023443,-0.009865,-0.017107,0.003272,5503
NHANES,2009.5,-0.002746,0.002956,-0.928741,0.367728,-0.009047,0.003556,-0.002667,0.002871,5617
NHANES,2011.5,-0.009091,0.004056,-2.241236,0.039544,-0.017689,-4.92e-4,-0.00976,0.004355,4990
NHANES,2013.5,-0.004688,0.003308,-1.417183,0.178299,-0.011782,0.002407,-0.004043,0.002853,5443
NHANES,2015.5,-0.003191,0.004167,-0.765607,0.456624,-0.012129,0.005748,-0.002891,0.003776,5214
NHANES,2017.5,-0.011172,0.005612,-1.990551,0.066421,-0.023209,8.66e-4,-0.010084,0.005066,5135
