"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.57594333326826,0.134961773321956,2283,1.00047995086334
"lnWt",-0.00665199729129714,0.00295412043563964,13153,0.999825778870021
"sigma",1.02778079097155,0.00159930344175711,13526,0.999689325784243
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0109189348567041,0.00420372544181502,2320,1.00221076394941
"Sigma[age_group:(Intercept),(Intercept)]",0.24710893430394,0.114503187517945,2217,1.0000861538255
"Sigma[period_4yr:(Intercept),(Intercept)]",0.000503708160406159,0.000887466051671189,3322,1.0009808288771
"mean_PPD",3.68858074130135,0.00321956795580521,9862,0.999871669784878
"log-posterior",-288780.863627873,7.3526447626853,2013,1.00275353601514
