"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.59093207430814,0.115285373749496,1896,1.00303271445584
"lnWt",-3.44686715366899e-05,0.000440944058464634,12931,0.999887462294131
"sigma",1.03593501338579,0.00161568957929902,18262,0.999809834936845
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.00500674694566601,0.00181164061551848,2230,1.00044987267007
"Sigma[age_group:(Intercept),(Intercept)]",0.198420773431879,0.0891064161310811,2026,1.00260205285075
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00121141293535701,0.000830879278176174,3407,0.999970991386358
"mean_PPD",3.73359274749993,0.00330100530028871,9591,1.00019054613053
"log-posterior",-289992.895142652,7.92716599139678,1627,1.00146999167678
