"period","estimate","std_error","ci_lower_90","ci_upper_90"
1983,-0.00675167844351344,0.0148051430098461,-0.0307058900113387,0.0177537951208058
1987,0.0164816814287034,0.0135357553075882,-0.00488761770499102,0.0389608937812192
1991,-0.00777853264105133,0.0133459933141229,-0.029031163835109,0.0136363565391045
1995,0.0346971581390574,0.0142266303817367,0.0121386337450004,0.0582931968890565
1999,0.0103465715695692,0.0126451344552894,-0.0100873414219985,0.0315984783416645
2003,-0.0183623580524798,0.0124036218770922,-0.0383072065569277,0.00157876479907519
2007,-0.00602916612504556,0.0126966473466455,-0.0261159131570585,0.0146123578767751
2011,-0.0217884188885744,0.0126556844014301,-0.0426750255633729,-0.00132953411465504
2015,0.0486348510769243,0.0134256313140828,0.0273316246523552,0.0707112808074724
2019,0.00298628593417362,0.0152542246195937,-0.0219481183683499,0.027548766097833
2023,-0.0514933868588688,0.018652668510247,-0.0830762582549502,-0.0217788599820934
NA,0.00121141293535701,0.000830879278176174,0.000432703880873747,0.00269442985492041
