"age","estimate","ci_lower_90","ci_upper_90","model","estimate_centered","ci_lower_centered","ci_upper_centered"
18,3.29265809894763,3.24333945243205,3.34211952576768,"M1: Base",0,0,0
19,3.29432645476187,3.24842062155415,3.34000860115833,"M1: Base",0.00166835581424163,0.00508116912209911,-0.00211092460934248
20,3.29581651464003,3.25320377771916,3.33830494381511,"M1: Base",0.0031584156923965,0.00986432528710646,-0.00381458195256723
21,3.29694998264601,3.25670040647706,3.33744583469507,"M1: Base",0.00429188369837874,0.0133609540450057,-0.00467369107260973
22,3.29754856284373,3.25900152466616,3.33630016271343,"M1: Base",0.00489046389610248,0.0156620722341012,-0.00581936305425179
23,3.29743395929711,3.25986388403039,3.33534716509129,"M1: Base",0.00477586034948096,0.0165244315983357,-0.00677236067638232
24,3.29642787607006,3.25932093525039,3.33393498163766,"M1: Base",0.00376977712242832,0.0159814828183364,-0.0081845441300179
25,3.29435201722649,3.2572751721015,3.33162439349016,"M1: Base",0.00169391827885779,0.0139357196694503,-0.0104951322775158
26,3.29102808683032,3.25378848303536,3.32818429210724,"M1: Base",-0.00163001211731606,0.0104490306033034,-0.0139352336604373
27,3.28627778894545,3.24896429976902,3.32382497374115,"M1: Base",-0.00638031000218042,0.00562484733696289,-0.0182945520265276
28,3.27992282763581,3.24296623362634,3.31710808280619,"M1: Base",-0.0127352713118216,-0.000373218805715059,-0.0250114429614841
29,3.27185143383902,3.23601899854502,3.3081768869383,"M1: Base",-0.0208066651086125,-0.00732045388703551,-0.0339426388293789
30,3.26221794598755,3.22738880711604,3.29764458108635,"M1: Base",-0.0304401529600775,-0.0159506453160154,-0.0444749446813302
31,3.2512432293876,3.2170749059194,3.28572258334663,"M1: Base",-0.0414148695600289,-0.0262645465126572,-0.0563969424210504
32,3.23914814934535,3.20575290398497,3.27285870748463,"M1: Base",-0.0535099496022777,-0.0375865484470879,-0.0692608182830425
33,3.226153571167,3.19298397003727,3.25938911229387,"M1: Base",-0.0665045277806362,-0.0503554823947834,-0.0827304134738118
34,3.21248036015872,3.17941377994271,3.24591972318681,"M1: Base",-0.0801777387889153,-0.0639256724893484,-0.0961998025808688
35,3.1983493816267,3.16530787580532,3.2315929373236,"M1: Base",-0.0943087173209269,-0.0780315766267305,-0.110526588444075
36,3.18398150087715,3.15143961536239,3.21689079106528,"M1: Base",-0.108676598070482,-0.0918998370696609,-0.1252287347024
37,3.16955526649518,3.1375201552807,3.20232362792957,"M1: Base",-0.12310283245245,-0.10581929715135,-0.139795897838103
38,3.15507996018171,3.12358378227551,3.1869874075503,"M1: Base",-0.137578138765917,-0.119755670156545,-0.155132118217377
39,3.1405225469166,3.10978390003171,3.17144539673837,"M1: Base",-0.152135552031029,-0.133555552400345,-0.170674129029309
40,3.1258499916797,3.09588487094937,3.15622788868412,"M1: Base",-0.166808107267929,-0.147454581482684,-0.185891637083559
41,3.11102925945087,3.08147758354976,3.14081962325416,"M1: Base",-0.181628839496763,-0.161861868882297,-0.201299902513515
42,3.09602731520996,3.06661692648802,3.12587000874312,"M1: Base",-0.196630783737674,-0.176722525944032,-0.216249517024553
43,3.08081112393683,3.05126263776409,3.11048840485075,"M1: Base",-0.211846975010806,-0.192076814667961,-0.231631120916928
44,3.06534765061133,3.03527595120624,3.095013061324,"M1: Base",-0.227310448336304,-0.208063501225809,-0.247106464443674
45,3.04960386021332,3.01946946597766,3.07935960305595,"M1: Base",-0.243054238734313,-0.223869986454394,-0.26275992271173
46,3.03358005768639,3.00376417189026,3.06304065207677,"M1: Base",-0.259078041261242,-0.239575280541795,-0.279078873690907
47,3.01740990782907,2.98832528512231,3.04648653043275,"M1: Base",-0.275248191118566,-0.255014167309748,-0.295632995334928
48,3.00126041540361,2.97274057165754,3.02979508147272,"M1: Base",-0.291397683544025,-0.270598880774513,-0.312324444294954
49,2.98529858517227,2.95731694092687,3.0132896926571,"M1: Base",-0.307359513775361,-0.286022511505182,-0.328829833110579
50,2.96969142189732,2.94216508061476,2.99713700604292,"M1: Base",-0.322966677050314,-0.301174371817295,-0.344982519724759
51,2.95460593034101,2.92757046045679,2.98162507292225,"M1: Base",-0.338052168606624,-0.315768991975268,-0.36049445284543
52,2.9402091152656,2.91333077629675,2.96715290933799,"M1: Base",-0.352448983682032,-0.330008676135304,-0.374966616429686
53,2.92666798143335,2.89990411539888,2.95364820502695,"M1: Base",-0.365990117514279,-0.34343533703317,-0.388471320740729
54,2.91414953360653,2.88727523299988,2.94128805334117,"M1: Base",-0.378508565341105,-0.356064219432171,-0.40083147242651
55,2.90282077654738,2.8758562819596,2.93012098616944,"M1: Base",-0.38983732240025,-0.36748317047245,-0.411998539598233
56,2.89279846867721,2.86579462457509,2.92021466033647,"M1: Base",-0.399859630270422,-0.377544827856964,-0.42190486543121
57,2.88399838305345,2.85701590389423,2.91144971530081,"M1: Base",-0.408659715894184,-0.386323548537827,-0.430669810466872
58,2.87628604639256,2.84961748875055,2.90340363713924,"M1: Base",-0.41637205255507,-0.393721963681505,-0.438715888628433
59,2.86952698541102,2.84338301519594,2.89607227848062,"M1: Base",-0.423131113536609,-0.399956437236116,-0.446047247287059
60,2.8635867268253,2.8379359013179,2.88947732795792,"M1: Base",-0.429071372122334,-0.405403551114158,-0.452642197809755
61,2.85833079735186,2.83303055024081,2.88388695114256,"M1: Base",-0.434327301595774,-0.410308902191245,-0.458232574625119
62,2.85362472370717,2.82849069912553,2.87887502520928,"M1: Base",-0.439033375240462,-0.41484875330652,-0.463244500558399
63,2.8493340326077,2.82435199780185,2.87449056598462,"M1: Base",-0.443324066339928,-0.418987454630207,-0.467628959783058
64,2.84532425076993,2.82001064155338,2.87058576473384,"M1: Base",-0.447333848177704,-0.423328810878676,-0.471533761033839
65,2.84146090491031,2.81589223690956,2.86710841149948,"M1: Base",-0.451197194037321,-0.427447215522496,-0.475011114268193
66,2.83760952174532,2.81172705374611,2.86356662885555,"M1: Base",-0.45504857720231,-0.431612398685945,-0.478552896912125
67,2.83363562799143,2.80725394624541,2.8598783938284,"M1: Base",-0.459022470956202,-0.436085506186641,-0.482241131939276
68,2.82942910942654,2.80250401811079,2.85604450375725,"M1: Base",-0.463228989521088,-0.440835434321269,-0.486075022010432
69,2.82497728807433,2.79769380107491,2.85171481369692,"M1: Base",-0.467680810873297,-0.445645651357148,-0.490404712070758
70,2.82029184501991,2.79272722664188,2.84741109164338,"M1: Base",-0.47236625392772,-0.450612225790176,-0.494708434124297
71,2.81538446134839,2.78767270716322,2.84264529266056,"M1: Base",-0.477273637599244,-0.455666745268838,-0.499474233107114
72,2.81026681814487,2.78238452689603,2.83770931210272,"M1: Base",-0.482391280802761,-0.460954925536027,-0.504410213664956
73,2.80495059649447,2.77685820154589,2.83245285466922,"M1: Base",-0.487707502453159,-0.466481250886166,-0.509666671098454
74,2.79944747748231,2.77099709372725,2.82712552711109,"M1: Base",-0.493210621465327,-0.472342358704802,-0.514993998656588
75,2.79376914219348,2.7650369238584,2.82168251805954,"M1: Base",-0.498888956754155,-0.478302528573653,-0.520437007708137
76,2.7879272717131,2.75904387127601,2.81637502039131,"M1: Base",-0.504730827234531,-0.484295581156042,-0.525744505376366
77,2.78193354712629,2.75253681936587,2.81083653189841,"M1: Base",-0.510724551821347,-0.490802633066186,-0.531282993869272
78,2.77579964951814,2.74589017816433,2.8053387382404,"M1: Base",-0.51685844942949,-0.497449274267726,-0.536780787527273
79,2.76953725997378,2.73919311621912,2.79987150016384,"M1: Base",-0.52312083897385,-0.504146336212934,-0.542248025603833
80,2.76315805957832,2.73192211463564,2.79443349802267,"M1: Base",-0.529500039369316,-0.511417337796417,-0.547686027745002
81,2.75667372941685,2.724290646897,2.78924721353124,"M1: Base",-0.535984369530779,-0.519048805535058,-0.552872312236439
82,2.7500959505745,2.71624769864491,2.7842011504772,"M1: Base",-0.542562148373127,-0.527091753787143,-0.557918375290476
83,2.74343640413638,2.7079493849149,2.77929143115577,"M1: Base",-0.549221694811249,-0.53539006751715,-0.562828094611908
84,2.7367067711876,2.69948903719216,2.77432631037902,"M1: Base",-0.555951327760035,-0.543850415239898,-0.567793215388662
85,2.72991873281326,2.69032836486165,2.76984943097233,"M1: Base",-0.562739366134375,-0.553011087570407,-0.572270094795349
86,2.72308397009847,2.68126077862641,2.76528756457927,"M1: Base",-0.569574128849157,-0.562078673805643,-0.576831961188407
87,2.71621416412836,2.67176727761535,2.7606510999396,"M1: Base",-0.576443934819271,-0.571572174816701,-0.581468425828072
88,2.70932099598803,2.6625866817635,2.75648856951167,"M1: Base",-0.583337102959606,-0.580752770668549,-0.585630956256011
89,2.70241614676258,2.65291286094235,2.7522722477309,"M1: Base",-0.590241952185052,-0.590426591489702,-0.589847278036773
18,3.29901429208043,3.25382256253955,3.34430397627226,"M2: Period Smooth",0,0,0
19,3.30121635586744,3.25982423923553,3.34261394724958,"M2: Period Smooth",0.00220206378701659,0.00600167669597873,-0.00169002902267312
20,3.30324089181925,3.26501814932813,3.34150185960955,"M2: Period Smooth",0.00422659973882045,0.0111955867885807,-0.00280211666270613
21,3.30491037210063,3.26928554247256,3.34036415078408,"M2: Period Smooth",0.00589608002019881,0.0154629799330133,-0.00393982548817862
22,3.30604726887637,3.27253067418145,3.33939564370754,"M2: Period Smooth",0.00703297679593806,0.0187081116419003,-0.00490833256471834
23,3.30647405431125,3.27417310572368,3.3385199304743,"M2: Period Smooth",0.00745976223082589,0.0203505431841315,-0.00578404579796077
24,3.30601320057008,3.27455780275893,3.33721450637944,"M2: Period Smooth",0.00699890848964957,0.0207352402193801,-0.00708946989281412
25,3.30448717981762,3.27349182230853,3.33552109910028,"M2: Period Smooth",0.00547288773719545,0.0196692597689818,-0.00878287717198045
26,3.30171846421868,3.27108410463286,3.33275040743098,"M2: Period Smooth",0.00270417213825125,0.0172615420933084,-0.0115535688412769
27,3.29752952593803,3.2673412019543,3.3281669525576,"M2: Period Smooth",-0.00148476614239579,0.0135186394147473,-0.0161370237146534
