"period","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1971,0.00275599536008187,0.0153572970299919,-0.0216923699690604,0.0287777660201099,"M1: Base","random"
1975,-0.015832296153087,0.0147688237487541,-0.0401371676703829,0.00836929428595098,"M1: Base","random"
1979,-0.0213310513868351,0.0147786379810773,-0.0456607268214107,0.00225002483186389,"M1: Base","random"
1983,0.013549526794274,0.0150519671235724,-0.0104875506292067,0.0389860972015193,"M1: Base","random"
1987,0.0200595082977174,0.0134079683246319,-0.00134086942701408,0.0427346630243342,"M1: Base","random"
1991,0.0156620199917418,0.0136804277225707,-0.00644837861366386,0.0384706504682949,"M1: Base","random"
1995,0.0325857464245236,0.0130439146882562,0.0115554917992694,0.0543239842856086,"M1: Base","random"
1999,0.0192962091768563,0.0132758997564048,-0.00158492641441494,0.0417196713143413,"M1: Base","random"
2003,0.00875066313855828,0.0127333184590047,-0.0122227890985989,0.0297768252340763,"M1: Base","random"
2007,-0.0265905778270852,0.0155870679190507,-0.0533318316696858,-0.00207460948968372,"M1: Base","random"
2011,-0.0153921775222615,0.0150415028468524,-0.0411220183701219,0.00827136821191243,"M1: Base","random"
2015,-0.026273963811598,0.0154584450469049,-0.0525570695381732,-0.00179601461880331,"M1: Base","random"
2019,0.0136215956063298,0.0139744582521307,-0.00942746706558009,0.0364464508213946,"M1: Base","random"
2023,-0.0206979914272344,0.0167100129280923,-0.0488712739104303,0.00572147241337513,"M1: Base","random"
NA,0.000752798809774039,0.00048874476439864,0.000247970234930703,0.00166082077866563,"M1: Base","random"
1971,0.00100526786663655,0.0159124649669043,-0.0248128241617553,0.0273905043235261,"M3: Cohort Smooth","random"
1975,-0.0158133815654413,0.0151970295008381,-0.0407028803355453,0.00846780964081226,"M3: Cohort Smooth","random"
1979,-0.0246534144530341,0.0153057040159455,-0.0507144444135083,-0.000576420101137178,"M3: Cohort Smooth","random"
1983,0.00837728280370499,0.014867547927949,-0.0150558859089945,0.0334349018755354,"M3: Cohort Smooth","random"
1987,0.0179862637857212,0.0131854427789588,-0.0032050248211237,0.0402231326721252,"M3: Cohort Smooth","random"
1991,0.0142096464339665,0.0133850373232755,-0.00714611186748097,0.0366613652901183,"M3: Cohort Smooth","random"
1995,0.0307729389726528,0.0129308176788253,0.0103801812083033,0.0526885904388297,"M3: Cohort Smooth","random"
1999,0.0169112989420284,0.0130252432807784,-0.00383244237630661,0.0391289307394186,"M3: Cohort Smooth","random"
2003,0.00858268075710167,0.0124555255105688,-0.0115681520094013,0.0291079179030222,"M3: Cohort Smooth","random"
