"model","elpd_loo","se_elpd_loo","looic","p_loo","n_bad_k","delta_elpd","delta_looic"
"M3: Cohort Smooth",-69418.9912581609,158.079822114414,138837.982516322,28.6095839604507,0,0,0
"M4: Both Smooth",-69420.2504396247,158.089533160737,138840.500879249,23.8250330658579,0,-1.25918146375625,2.5183629275125
"M1: Base",-69422.7252260446,158.056259039612,138845.450452089,48.1096364359424,0,-3.73396788373066,7.46793576746131
"M2: Period Smooth",-69425.8227830407,158.048222542564,138851.645566081,42.5748769152609,0,-6.8315248798317,13.6630497596634
