variable,survey,n_obs,cohort_pct,period_pct,residual_pct
SRH,GSS,NA,2.35,0.14,97.51
Education,GSS,57471,6.414688002661971,10.034511670376364,83.55080032696166
Happiness,GSS,54471,0.05893110661285883,1.452724007527449,98.48834488585969
