period_4yr,educ_young,educ_old,gradient,n_total
1971,11.930209740139357,9.417246905519614,2.512962834619744,509
1975,11.919635299038909,9.46225118165904,2.4573841173798687,516
1979,11.657357669551635,10.12600862929093,1.5313490402607055,349
1983,12.03519103565947,10.264086447958233,1.7711045877012364,293
1987,11.90157330770717,11.255130494675154,0.6464428130320172,496
1991,12.105648748022004,11.503037757321184,0.6026109907008195,393
1995,11.907818470289854,11.877855989491453,0.02996248079840136,461
1999,11.943190810217255,12.74602079004551,-0.802829979828255,373
2003,12.274555310327413,12.502860904010884,-0.22830559368347103,372
2007,12.411974187890301,13.237927726537892,-0.8259535386475907,208
2011,12.358504232505188,13.458934420002182,-1.1004301874969933,269
2015,12.684420153987272,14.01366072561807,-1.3292405716307982,285
2019,12.698304309663303,14.60459610141342,-1.9062917917501174,735
2023,12.589308785110092,13.781796950424843,-1.1924881653147512,360
