"period_4yr","srh_18_21","srh_80_84","gradient","n_total"
"1999",3.74536629895593,2.97885813163366,0.766508167322276,10597
"2003",3.68991012158518,3.00675872612015,0.683151395465031,10386
"2007",3.67648619811201,3.05844562542502,0.618040572686992,12750
"2011",3.60759324298673,3.14792782714933,0.459665415837396,11970
"2015",3.52782851518937,3.2143361429896,0.313492372199774,21514
"2019",3.79758743841453,3.22142371354086,0.576163724873663,8150
