"period_4yr","age_group","mean_srh","se_srh","n"
"1999","18-21",3.74536629895593,0.0248068509033632,1535
"1999","22-25",3.77020209744695,0.0339661992211792,767
"1999","26-29",3.73968136897547,0.0376618450229504,733
"1999","30-34",3.78868427016003,0.0313751624560802,876
"1999","35-39",3.75628900257338,0.033773542737089,854
"1999","40-44",3.57577118799602,0.03603658347203,898
"1999","45-49",3.60541342120322,0.0386680486147256,790
"1999","50-54",3.47083428041477,0.0400685116884504,750
"1999","55-59",3.4375862400318,0.0486836883333381,527
"1999","60-64",3.28623426950413,0.0401161482358561,850
"1999","65-69",3.25138338310114,0.0428187936298371,707
"1999","70-74",3.19889173531533,0.0442615034787912,672
"1999","75-79",3.09137994865214,0.0469119959598114,509
"1999","80-84",2.97885813163366,0.091928730580698,129
"2003","18-21",3.68991012158518,0.0241308109274744,1575
"2003","22-25",3.69898726948657,0.033511941342319,803
"2003","26-29",3.71781126087478,0.035212730623797,761
"2003","30-34",3.6822984870291,0.0332695289905941,900
"2003","35-39",3.60277658379172,0.0369163393148439,787
"2003","40-44",3.49156170768358,0.0340727082861037,852
"2003","45-49",3.48598319767042,0.0368893941533586,776
"2003","50-54",3.36687372174619,0.0406103325974527,736
"2003","55-59",3.34981480250004,0.0491562982301033,517
"2003","60-64",3.44499772237647,0.0418551231460944,788
"2003","65-69",3.26831460715613,0.0423998342862606,673
"2003","70-74",3.27089058290472,0.0443947929805646,621
"2003","75-79",3.0118797159309,0.0490441279076989,476
"2003","80-84",3.00675872612015,0.0968277670254232,121
"2007","18-21",3.67648619811201,0.0293039961580556,1012
"2007","22-25",3.67882344126982,0.0348195440228625,769
"2007","26-29",3.61522668564092,0.0333917996658175,760
"2007","30-34",3.56245259884933,0.0319809866190455,993
"2007","35-39",3.55919461053207,0.0306197584721214,1060
"2007","40-44",3.43393464097221,0.0305186620270641,1031
"2007","45-49",3.31602988049401,0.0324994601723047,1024
"2007","50-54",3.40072975962705,0.0332603368020035,1048
"2007","55-59",3.33029495634095,0.0364376996047938,828
"2007","60-64",3.33247145411558,0.0309501992645827,1148
"2007","65-69",3.28766990149303,0.0381005794904725,812
"2007","70-74",3.18794253265944,0.0384493246404745,793
"2007","75-79",3.11457195033203,0.0431595898031343,609
"2007","80-84",3.05844562542502,0.0354468688644935,863
"2011","18-21",3.60759324298673,0.0284759428811133,1079
"2011","22-25",3.61938771046835,0.032388160534205,820
"2011","26-29",3.63630675459189,0.0343151807216834,697
"2011","30-34",3.50957910279182,0.0301505740197958,1021
"2011","35-39",3.45254714301004,0.0321825410661733,939
"2011","40-44",3.36705750800378,0.0301833881588892,1011
"2011","45-49",3.39850111853032,0.0350260470854236,923
"2011","50-54",3.31826889746031,0.0318954164976839,981
"2011","55-59",3.30573746233719,0.0364718218522794,870
"2011","60-64",3.32975624352694,0.0323541556834944,1075
"2011","65-69",3.35109089683019,0.038425298824625,772
"2011","70-74",3.22462216960786,0.0406841667604083,645
"2011","75-79",3.18021202166622,0.0521095816464863,422
"2011","80-84",3.14792782714933,0.0403050579775612,715
"2015","18-21",3.52782851518937,0.0238204666473216,1557
"2015","22-25",3.56971593474912,0.0259184926959439,1310
"2015","26-29",3.52401466778331,0.0264531879708919,1328
"2015","30-34",3.49941428367106,0.02300428949447,1679
"2015","35-39",3.43721626286988,0.0255398958494072,1570
"2015","40-44",3.39294707406217,0.025245037237066,1615
"2015","45-49",3.40797726694677,0.0244086892627972,1585
"2015","50-54",3.32286476734564,0.025771876344381,1657
"2015","55-59",3.29537733955759,0.0250429938191062,1748
"2015","60-64",3.3037273846122,0.0216818956910636,2183
"2015","65-69",3.38812357840186,0.0260181168121577,1614
"2015","70-74",3.2802309214431,0.0274652678179879,1302
"2015","75-79",3.2213087809435,0.0355844172583733,886
"2015","80-84",3.2143361429896,0.0271949473058297,1480
"2019","18-21",3.79758743841453,0.0418891602509465,499
"2019","22-25",3.70478918441529,0.051130521984255,348
"2019","26-29",3.62824173198065,0.0485558982411984,401
"2019","30-34",3.5340738641286,0.0357300326505657,630
"2019","35-39",3.64163654992518,0.0422706395371083,550
"2019","40-44",3.52396594426764,0.0384971338203356,580
"2019","45-49",3.31539318095303,0.0494195592928277,461
"2019","50-54",3.32542270086963,0.0418515071225708,527
"2019","55-59",3.17730680713422,0.0406201488686653,652
"2019","60-64",3.27898531627218,0.0325210331482785,918
"2019","65-69",3.30773067041335,0.033792949365068,847
"2019","70-74",3.33856191686538,0.0351735749227032,748
"2019","75-79",3.27794619640926,0.0463122100654854,466
"2019","80-84",3.22142371354086,0.0428993550771587,523
