"age_group","mean_srh","n"
"18-21",3.65537626558993,7257
"22-25",3.6570599752385,4817
"26-29",3.63039028724792,4680
"30-34",3.59183041985218,6099
"35-39",3.5629717092165,5760
"40-44",3.45582187563222,5987
"45-49",3.42905363428328,5559
"50-54",3.36532332164308,5699
"55-59",3.31304146568851,5142
"60-64",3.32565477784791,6962
"65-69",3.32536613439206,5425
"70-74",3.25315332676668,4781
"75-79",3.15425706376238,3368
"80-84",3.15562671359171,3831
