"component","variance","pct_of_total","sd"
"cohort_4yr",0.00294525013484102,0.267393174504422,0.0542701587876894
"period_4yr",0.0196733944980919,1.78610683890406,0.140261878278069
"Residual",1.07884931179477,97.9464999865915,1.03867671187659
"Total",1.1014679564277,100,1.04950843561531
