"period","observed_gradient","model_age_slope","interaction_vs_1999","significant"
"1999",0.766508167322276,-0.0151421803543175,0,"ref"
"2003",0.683151395465031,-0.0131426303811928,0.00199954997312471,"*"
"2007",0.618040572686992,-0.0111752681914307,0.00396691216288682,"*"
"2011",0.459665415837396,-0.0105593746104966,0.00458280574382086,"*"
"2015",0.313492372199774,-0.00906403751933472,0.00607814283498276,"*"
"2019",0.576163724873663,-0.00763803064115014,0.00750414971316735,"*"
