"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",1.31483442498546,0.104613181005713,3018,1.00052768946904
"lnWt",0.207200379031901,0.00303183115236245,11819,1.00007867202681
"sigma",0.976553593764111,0.00153306517712798,14925,0.999775140078784
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0186599809455686,0.00774967187599835,2931,1.00040148773753
"Sigma[age_group:(Intercept),(Intercept)]",0.133949510441417,0.063956683719369,2832,1.00025834927551
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00178809508530406,0.00226405462918589,3681,1.00002073524707
"mean_PPD",3.49928870404179,0.00305446698081214,9937,0.999839730410554
"log-posterior",-278966.994988352,7.21465489374825,1934,1.00090563309419
