component,unadjusted_pct,demographics_pct,all_excl_satjob_pct,all_incl_satjob_pct
Cohort,2.34642044484599,1.01854375814727,1.375125747001121,2.927574770172197
Period,0.139630346081024,1.0255608262931248,0.2820541010107777,0.15346888425009703
Residual,97.513949209073,97.9558954155596,98.342820151988107,96.91895634557771
N,57627,57347,44264,33680
