variable,n_total,n_valid,n_missing,pct_missing
srh,75699,58448,17251,22.8
age,75699,74829,870,1.1
year,75699,75699,0,0
wt,75699,75699,0,0
happy_r,75699,70869,4830,6.4
satfin_r,75699,71013,4686,6.2
satjob_r,75699,54131,21568,28.5
absingle_r,75699,48103,27596,36.5
educ_f,75699,75500,199,0.3
race_f,75699,75527,172,0.2
sex_f,75699,75568,131,0.2
