"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",3.12233326658191,0.0935827429591584,1921,1.00153083844982
"lnWt",0.0167813007519331,0.00142757938536979,17805,0.999720223696163
"sigma",1.03770805925582,0.00266795592176659,18290,0.999811078111354
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.00326827808126575,0.00195321420900489,2162,1.00270194956987
"Sigma[age_group:(Intercept),(Intercept)]",0.0754104433469727,0.0384774398487089,1913,1.00212220462893
"Sigma[period_4yr:(Intercept),(Intercept)]",0.0178644689782204,0.0243810026756418,3451,1.00037427753614
"mean_PPD",3.28969455898556,0.00538156589233272,9941,1.00017668479015
"log-posterior",-109807.478377064,7.62882771769402,1650,1.00276703032272
