survey,age_pct,period_pct,cohort_pct,age_pct_ref,period_pct_ref,cohort_pct_ref
BRFSS,9.075307749384681,0.19901713923320163,1.6778520364386187,9.1,0.2,1.7
MEPS,12.088580988583177,0.1613707447138399,1.6840128057398156,12.1,0.2,1.7
NHIS,15.528426525230218,0.09480527886795607,0.3918284397923041,15.5,0.1,0.4
CPS,18.79334797991405,0.03830846005426842,0.830416524234843,18.8,0,0.8
NHANES,6.426895563154996,1.522508969824986,0.27854075599313877,6.4,1.5,0.3
GSS,7.686995248515599,0.10934806139996749,2.1544982373600665,7.7,0.1,2.2
