survey,n_bhapc,n_zero_wt,year_min,year_max,age_min,age_max,n_cohort_bins,cohort_grid_min,cohort_grid_max,p_bar,a_bar,c_bar,p_bar_w,a_bar_w,c_bar_w,c_grid_bar,grid_offset,c_mid,by_min,by_max,by_mid,by_q05,by_q10,by_q90,by_q95,grid_q05,grid_q10,grid_q90,grid_q95,apci_proxy_age_min,apci_proxy_age_max,n_apci_proxy,p_bar_apci_proxy,a_bar_apci_proxy,c_bar_apci_proxy,by_q10_apci_proxy,by_q90_apci_proxy
BRFSS,200034,0,1993,2025,21,89,26,1904,2004,2011.7481778097724,54.06230940740074,1957.6858684023716,2009.4122241506902,46.589495154705524,1962.8227289959848,1956.536788745913,1.1490796564585253,1955.1490796564585,1904,2004,1954,1926,1933,1984,1991,1924,1932,1984,1992,20,89,200034,2011.7481778097724,54.06230940740074,1957.6858684023716,1933,1984
MEPS,199890,0,2000,2023,18,85,24,1912,2004,2010.777517634699,47.175976787232976,1963.6015408474661,2011.9278099510136,47.00718888853088,1964.9206210624827,1962.1436390014508,1.4579018460153748,1959.4579018460154,1915,2005,1960,1932,1939,1987,1991,1928,1936,1988,1992,20,89,193793,2010.8085482963781,48.07497690835066,1962.7335713880275,1938,1986
NHIS,199349,102267,1983,2024,18,85,28,1896,2004,2002.335311438733,45.723871200758474,1956.6114402379746,2005.9089950779364,45.99009756129419,1959.9188975166421,1955.2616767578468,1.3497634801278764,1951.3497634801279,1898,2006,1952,1921,1929,1983,1988,1920,1928,1980,1988,20,89,192237,2002.3935922845237,46.73195066506448,1955.6616416194593,1928,1981
CPS,199605,2,1996,2025,18,85,25,1908,2004,2010.6025299967437,45.79577665890133,1964.8067533378423,2011.4111059315144,46.39464079528435,1965.01646513623,1963.3238445930713,1.4829087447710663,1957.482908744771,1911,2007,1959,1932,1940,1989,1994,1928,1936,1988,1992,20,89,192028,2010.6190191013811,46.87522132189056,1963.7437977794905,1939,1987
NHANES,75367,5074,1999.5,2022,18,80,22,1916,2000,2011.4713667785636,47.67042604853583,1963.8009407300278,2011.0344775353713,45.84476581826599,1965.1897117171052,1961.7730837103773,2.0278570196505825,1960.0278570196506,1919.5,2004,1961.75,1931.5,1937.5,1989,1993.5,1928,1936,1988,1992,20,79,66609,2011.4990466753743,47.96944857301566,1963.5295981023585,1939.5,1987
GSS,57627,0,1972,2024,18,89,31,1884,2004,1998.9423187047737,46.83365436340604,1952.1086643413678,1998.9496037149318,45.15436899888728,1953.7952347160444,1950.3892272719386,1.7194370694292047,1945.7194370694292,1883,2006,1944.5,1912,1920,1982,1989,1912,1920,1980,1988,20,89,56675,1998.993224525805,47.305002205558004,1951.688222320247,1920,1981
