survey,crossing,direction,x_left,x_right,y_left,y_right,in_central_region
BRFSS,1957.3452390914435,pos_to_neg,1954.5,1959.5,0.0665543038186373,-0.0504030092219186,TRUE
MEPS,1951.6998447915846,pos_to_neg,1949.5,1954.5,0.0168283902188191,-0.021420649629800802,TRUE
NHIS,1950.0467501281623,pos_to_neg,1949.5,1954.5,0.00535361198275562,-0.0436048766119295,TRUE
CPS,1954.5194243463613,pos_to_neg,1954.5,1959.5,1.2806537484772e-4,-0.0328371043315044,TRUE
NHANES,1929.622265537222,neg_to_pos,1929.5,1934.5,-0.0035871441584959,0.143107674348934,FALSE
NHANES,1951.7638048480976,pos_to_neg,1949.3,1954.3,0.0811204162743788,-0.0835038564983007,TRUE
NHANES,1980.359720863256,neg_to_pos,1979.3,1984.25,-0.0117479409426197,0.0431271772911565,TRUE
NHANES,1987.1060905028276,pos_to_neg,1984.25,1989.1666666666667,0.0431271772911565,-0.0311148520860374,FALSE
NHANES,1990.998766676242,neg_to_pos,1989.1666666666667,1994,-0.0311148520860374,0.050970433085727,FALSE
GSS,1897.0025472558393,neg_to_pos,1894.5,1899.5,-0.20408253981801,0.203667082775162,FALSE
GSS,1917.1723879264302,pos_to_neg,1914.5,1919.5,0.0246294457518885,-0.0214518987795316,FALSE
GSS,1926.003127849216,neg_to_pos,1924.5,1929.5,-0.0392144542436457,0.0912283895374051,TRUE
GSS,1943.5254632651202,pos_to_neg,1939.5,1944.5,0.101766102671365,-0.02463686758196,TRUE
GSS,1946.0591101556683,neg_to_pos,1944.5,1949.5,-0.02463686758196,0.0543725195751556,TRUE
GSS,1954.330084356265,pos_to_neg,1949.5,1954.5,0.0543725195751556,-0.00191274954714245,TRUE
GSS,1994.456509615443,neg_to_pos,1989.5,1994.5,-0.135397274504047,0.00118802947900653,FALSE
