survey,cohort_index,cohort_midpoint,n_cells,estimate,ci_lower,ci_upper,se,p_value,rel_to_cbar,in_primary_region
NHIS,3,1904.5,3,-0.00976480497857096,-0.03833382737015747,0.01880421741301555,0.0145760318324421,0.502907553057701,-51.16164161945926,FALSE
NHIS,4,1909.5,4,-0.0737096136350494,-0.09493847328984407,-0.05248075398025471,0.010831050844283,1.0079344925551099e-11,-46.16164161945926,FALSE
NHIS,5,1914.5,5,-0.089933241495799,-0.1064792548245858,-0.0733872281670122,0.00844184353509531,1.68573227783738e-26,-41.16164161945926,FALSE
NHIS,6,1919.5,6,-0.056458660773328,-0.07068675078476289,-0.04223057076189311,0.00725922959767086,7.40004815357393e-15,-36.16164161945926,FALSE
NHIS,7,1924.5,7,-0.037893656623735,-0.0502537436401367,-0.02553356960733329,0.00630616684510291,1.8671592880292e-9,-31.16164161945926,FALSE
NHIS,8,1929.5,8,0.00175385172402289,-0.01019473433688813,0.01370243778493391,0.00609621737801583,0.773580183927545,-26.16164161945926,TRUE
NHIS,9,1934.5,9,0.0317477091662997,0.02077990638793563,0.04271551194466377,0.0055958177440633,1.39948792466864e-8,-21.16164161945926,TRUE
NHIS,10,1939.5,9,0.0653185926705085,0.05553253057420328,0.07510465476681372,0.00499288882464552,4.16810157183348e-39,-16.16164161945926,TRUE
NHIS,11,1944.5,9,0.0673228563633823,0.05891057017424427,0.07573514255252033,0.00429198274956022,1.90590835776895e-55,-11.16164161945926,TRUE
NHIS,12,1949.5,9,0.0659708702931982,0.05841462263993748,0.07352711794645893,0.00385522839452078,1.2175373303766401e-65,-6.16164161945926,TRUE
NHIS,13,1954.5,9,0.0317615546844399,0.02471522026288331,0.03880788910599649,0.00359506858242683,1.00381583482649e-18,-1.1616416194592603,TRUE
NHIS,14,1959.5,9,0.015506921110445,0.00863586114861678,0.02237798107227322,0.00350564283766746,9.71560724499938e-6,3.8383583805407397,TRUE
NHIS,15,1964.5,8,-0.00725058663320619,-0.01428955727915363,-2.116159872587427e-4,0.00359131155405482,0.0434951847736829,8.83835838054074,TRUE
NHIS,16,1969.5,7,-0.0233182879505498,-0.03100223260180212,-0.01563434329929747,0.00392037992410833,2.7153146664083703e-9,13.83835838054074,TRUE
