survey,n_cohort_bins,bin_width,c_mid_apci,region_lo,region_hi,n_bins_region,argmax,argmax_lo,argmax_hi,argmax_unrestricted,vertex,b2,concave,vertex_central90,concave_central90,n_bins_central90,vertex_all,concave_all,b2_all,vertex_boot_median,vertex_boot_q05,vertex_boot_q95,boot_p_concave,vertex_local,b2_local,concave_local,n_bins_local,vertex_local_boot_median,vertex_local_boot_q05,vertex_local_boot_q95,boot_p_concave_local,min_bin_spacing,median_bin_spacing,flip_interp,n_crossings_total,n_pos_to_neg_total,n_pos_to_neg_in_region,flip_linear,slope_of_slopes_per_yr,flip_linear_inside_region
BRFSS,20,5,1954.5,1933,1984,10,1943.875,1938.875,1948.875,1943.875,1949.2045090894928,-1.3131656640719673e-4,TRUE,1952.439258452753,TRUE,13,1958.5637686627272,TRUE,-8.424837826656374e-5,1949.162220426329,1946.4229628178384,1951.2115444431595,1,1947.606595870238,-3.495137916744586e-4,TRUE,7,1947.7060341886993,1946.4065332540363,1949.330935802284,1,5,5,1957.3452390914435,1,1,1,1953.2947924817822,-0.0047417037073830175,TRUE
MEPS,18,5,1957,1938,1986,10,1944.5,1939.5,1949.5,1944.5,1990.7307771599694,1.7463944575409757e-5,FALSE,1901.476268796059,TRUE,12,1957.7571302140316,TRUE,-4.317941165706613e-5,1816.7137814656585,351.0209747977882,1930.3107232439227,0.0545,1946.70200637558,-2.126588310357617e-4,TRUE,7,1946.605237574807,1943.678615750958,1947.88940411033,1,5,5,1951.6998447915846,1,1,1,1953.7670508446206,-0.002658054034287631,TRUE
NHIS,22,5,1947,1928,1981,11,1944.5,1939.5,1949.5,1944.5,1945.8067815147426,-1.0004251227967e-4,TRUE,1948.6225146931329,TRUE,13,1942.5542594418125,TRUE,-2.4116513330183517e-5,1945.7757765784513,1944.3650746187132,1947.0147338649292,1,1945.0452727427755,-2.7469330960586184e-4,TRUE,7,1944.940229421435,1943.716777676734,1945.8838426338418,1,5,5,1950.0467501281623,1,1,1,1949.089624268094,-0.002950920403326583,TRUE
CPS,20,5,1957,1939,1987,10,1944.5,1939.5,1949.5,1944.5,1941.7097061332215,-3.983395793858176e-5,TRUE,1952.391082210951,TRUE,12,1957.9807983555665,TRUE,-7.78234682620901e-5,1941.6601771292685,1934.918267956477,1945.9163324956667,1,1947.8784241019682,-2.605952964783886e-4,TRUE,7,1947.8757698621612,1947.4325020806482,1948.3895503621827,1,5,5,1954.5194243463613,1,1,1,1956.1246419720494,-0.0051588249143821605,TRUE
NHANES,16,5,1961.5,1939.5,1987,10,1944.3,1939.3,1949.3,1998.5,2729.4602648590912,7.860001016243246e-7,FALSE,1954.0891272709944,TRUE,12,1970.588819130964,TRUE,-5.9128502799786405e-5,1933.913643026616,1603.6630301106077,1954.4229440752733,0.4995,1948.406962240516,-4.4203619905988325e-4,TRUE,7,1948.5648816299567,1946.461037201296,1951.5432210647612,0.989,4.5,5,1951.7638048480976,5,2,1,1952.8833663501457,-0.002504880767478912,TRUE
GSS,24,5,1942,1920,1981,12,1939.5,1934.5,1944.5,1884.5,1944.5139567752917,-1.5225828034176456e-4,TRUE,1946.081279385536,TRUE,15,1934.930842443975,TRUE,-4.478288051198791e-5,1944.5609552081323,1941.6570994597168,1946.6891460451643,1,1942.422385984311,-3.444432518777781e-4,TRUE,7,1942.7174697790956,1940.632544656101,1945.9807056515172,1,5,5,1943.5254632651202,7,3,2,1946.304434794786,-0.0031732809805222477,TRUE
