survey,cohort_grid,estimate,ci_lower_90,ci_upper_90,n_bin,birth_year,rel_to_cbar,in_primary_region
BRFSS,1904,-0.0566089747548877,-0.199070591999064,0.0809872084513708,148,1905.1490796564585,-52.5367887459131,FALSE
BRFSS,1908,-0.200226519565345,-0.312352592862226,-0.0899540127769441,404,1909.1490796564585,-48.5367887459131,FALSE
BRFSS,1912,-0.244794557858937,-0.339694117100158,-0.15098492181589,775,1913.1490796564585,-44.5367887459131,FALSE
BRFSS,1916,-0.148681880107952,-0.234825215072579,-0.0651963214114645,1345,1917.1490796564585,-40.5367887459131,FALSE
BRFSS,1920,-0.107118470525996,-0.181383545846115,-0.0352150148225408,3774,1921.1490796564585,-36.5367887459131,FALSE
BRFSS,1924,-0.0148037110542148,-0.0862821034210531,0.0546737740249498,3749,1925.1490796564585,-32.5367887459131,FALSE
BRFSS,1928,0.015412483883099,-0.0485325405956018,0.0790721097752845,7469,1929.1490796564585,-28.5367887459131,FALSE
BRFSS,1932,0.0677075874192427,0.00560166764171472,0.129695955658826,5360,1933.1490796564585,-24.5367887459131,TRUE
BRFSS,1936,0.109881881464159,0.0524120383673331,0.166710683388968,11729,1937.1490796564585,-20.5367887459131,TRUE
BRFSS,1940,0.187767381976688,0.13092153060063,0.24482971461125,8007,1941.1490796564585,-16.5367887459131,TRUE
BRFSS,1944,0.18558779870468,0.133810774214288,0.238790124908514,18081,1945.1490796564585,-12.5367887459131,TRUE
BRFSS,1948,0.191985768126499,0.1401804157839,0.243846937153073,13514,1949.1490796564585,-8.5367887459131,TRUE
BRFSS,1952,0.179990711293129,0.130086171668957,0.231307645814687,21594,1953.1490796564585,-4.5367887459131,TRUE
BRFSS,1956,0.151155256943871,0.100721049191108,0.20307295483478,12521,1957.1490796564585,-0.5367887459130998,TRUE
BRFSS,1960,0.150575801165605,0.100449744887823,0.202108425544317,19743,1961.1490796564585,3.4632112540869002,TRUE
BRFSS,1964,0.100170741598879,0.0474229021932869,0.154860897704815,9408,1965.1490796564585,7.4632112540869,TRUE
BRFSS,1968,0.0709540749962232,0.0193043070108169,0.125594398104492,14824,1969.1490796564585,11.4632112540869,TRUE
BRFSS,1972,0.0446860394467091,-0.0116136184764448,0.103277230024236,8519,1973.1490796564585,15.4632112540869,TRUE
BRFSS,1976,0.0134491723898528,-0.0439436377602505,0.0735415634826528,11089,1977.1490796564585,19.4632112540869,TRUE
BRFSS,1980,-0.0394658478771563,-0.10180790225358,0.0258369062910584,5549,1981.1490796564585,23.4632112540869,TRUE
BRFSS,1984,-0.0491850958786502,-0.11435957204111,0.0181588414138329,7787,1985.1490796564585,27.4632112540869,TRUE
BRFSS,1988,-0.0793838710004013,-0.148769187156371,-0.00604921136024854,4466,1989.1490796564585,31.4632112540869,FALSE
BRFSS,1992,-0.112461528682743,-0.186407674636353,-0.0352255129257451,4412,1993.1490796564585,35.4632112540869,FALSE
BRFSS,1996,-0.0875164996450435,-0.168419485727134,-0.00303388386742948,2771,1997.1490796564585,39.4632112540869,FALSE
BRFSS,2000,-0.116325569424843,-0.204273884715124,-0.026770137452635,1923,2001.1490796564585,43.4632112540869,FALSE
BRFSS,2004,-0.211141253313505,-0.306858558411327,-0.110117978282062,1073,2005.1490796564585,47.4632112540869,FALSE
MEPS,1912,-0.184598894699318,-0.299740109428546,-0.0729242525317172,335,1913.4579018460154,-50.143639001450765,FALSE
MEPS,1916,-0.146618690115353,-0.237163020057979,-0.0600181941844659,1260,1917.4579018460154,-46.143639001450765,FALSE
MEPS,1920,-0.147816033373705,-0.22695411157717,-0.0700413255084931,2471,1921.4579018460154,-42.143639001450765,FALSE
MEPS,1924,-0.112471668686785,-0.192698838523076,-0.0339131888016416,1549,1925.4579018460154,-38.143639001450765,FALSE
MEPS,1928,-0.103773895679372,-0.172745893645875,-0.0358544576883987,5055,1929.4579018460154,-34.143639001450765,FALSE
MEPS,1932,-8.3328560964584e-4,-0.0660164555135748,0.0628614576035384,4384,1933.4579018460154,-30.143639001450765,FALSE
MEPS,1936,0.0296492842611998,-0.0291416499808296,0.0888114637953835,7840,1937.4579018460154,-26.143639001450765,TRUE
MEPS,1940,0.0519228399167837,-0.00644503282896338,0.110210869271744,5594,1941.4579018460154,-22.143639001450765,TRUE
MEPS,1944,0.109153293617961,0.0558618219330372,0.162812515091118,12903,1945.4579018460154,-18.143639001450765,TRUE
MEPS,1948,0.12830160659648,0.0768930831071468,0.181018256593076,9720,1949.4579018460154,-14.143639001450765,TRUE
MEPS,1952,0.119697693953979,0.0700694910389495,0.169640107587065,17565,1953.4579018460154,-10.143639001450765,TRUE
MEPS,1956,0.138680768194834,0.0894383216641743,0.188881990548487,12558,1957.4579018460154,-6.143639001450765,TRUE
MEPS,1960,0.120807743126524,0.0728476722623945,0.170465348939457,19177,1961.4579018460154,-2.143639001450765,TRUE
MEPS,1964,0.10630684034843,0.055136668012651,0.157661460017526,9961,1965.4579018460154,1.8563609985492349,TRUE
MEPS,1968,0.082385420964847,0.0304687633921341,0.133973948791553,18035,1969.4579018460154,5.856360998549235,TRUE
MEPS,1972,0.08560501992095,0.0323902264445061,0.140990412700006,10228,1973.4579018460154,9.856360998549235,TRUE
MEPS,1976,0.0470841742667041,-0.0079336369600878,0.103495232659041,16311,1977.4579018460154,13.856360998549235,TRUE
MEPS,1980,0.0240812387785054,-0.0345088538442858,0.0849590771134043,10959,1981.4579018460154,17.856360998549235,TRUE
MEPS,1984,0.0332704343999073,-0.0282021689092572,0.0963657873895686,13286,1985.4579018460154,21.856360998549235,TRUE
MEPS,1988,0.0428904579191489,-0.0227831098189988,0.111286345289885,9692,1989.4579018460154,25.856360998549235,TRUE
MEPS,1992,0.0241758812888889,-0.0467704286704999,0.0979516764054622,6474,1993.4579018460154,29.856360998549235,FALSE
MEPS,1996,-0.0332256727846716,-0.110943616030344,0.0454570701958834,3309,1997.4579018460154,33.856360998549235,FALSE
MEPS,2000,-0.0633963983488513,-0.152768249420718,0.0262191369151907,1099,2001.4579018460154,37.856360998549235,FALSE
MEPS,2004,-0.361459263664152,-0.512366636970565,-0.217537099369021,125,2005.4579018460154,41.856360998549235,FALSE
NHIS,1896,0.010205242150735,-0.0955203618578782,0.116492900501617,34,1897.3497634801279,-59.26167675784677,FALSE
NHIS,1900,-0.0125497935159007,-0.0884254097689658,0.0615585179063049,390,1901.3497634801279,-55.26167675784677,FALSE
NHIS,1904,-0.0225500030286643,-0.0791307453614686,0.0329956900941203,1141,1905.3497634801279,-51.26167675784677,FALSE
NHIS,1908,-0.0816248457825734,-0.151168423682106,-0.0138587453533122,593,1909.3497634801279,-47.26167675784677,FALSE
NHIS,1912,-0.113698519473423,-0.160153747621882,-0.0680058074665161,2897,1913.3497634801279,-43.26167675784677,FALSE
NHIS,1916,-0.107012051465713,-0.151004173520743,-0.0630322753904207,3007,1917.3497634801279,-39.26167675784677,FALSE
NHIS,1920,-0.0528025241449091,-0.0909068320509707,-0.0150079205612343,5577,1921.3497634801279,-35.26167675784677,FALSE
NHIS,1924,0.0105099104462973,-0.0277715506847912,0.049524427024242,4260,1925.3497634801279,-31.26167675784677,FALSE
NHIS,1928,0.0241566211109551,-0.00971317614295921,0.0587513827822418,7828,1929.3497634801279,-27.26167675784677,TRUE
NHIS,1932,0.0393993067079452,0.00339276908998217,0.075812891340691,4442,1933.3497634801279,-23.26167675784677,TRUE
