component,variance,pct_of_total,sd
cohort_4yr,0.06199568489201458,0.40182301774868473,0.2489893268636521
period_4yr,0.03867097709086286,0.2506446818194966,0.19664937602459576
Residual,15.327938010631726,99.34753230043182,3.9150910603243605
Total,15.428604672614604,100,3.9279262560051462
