"component","variance","pct_of_total","sd"
"cohort_4yr",0.00760896926549162,1.1254208476883,0.0872294059677791
"period_4yr",0.00114294083092843,0.169049104276798,0.0338074079297486
"Residual",0.667347993430426,98.7055300480349,0.816913700111845
"Total",0.676099903526846,100,0.822252943762955
