component,variance,pct_of_total,sd
cohort_4yr,0.014128201801797883,1.4528292673310026,0.11886211255819865
period_4yr,0.004318219191136495,0.4440505105777268,0.0657131584322082
Residual,0.95401483921783,98.10312022209126,0.9767368321189849
Total,0.9724612602107644,100,0.9861345041173463
