term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),3.2065569834554224,0.10257982502753789,3.0403099163015663,3.378455343531902,5057,1.0000216815528595
age,-0.0350578785450807,0.001973396060648783,-0.03835600074407843,-0.03184438866048843,5036,1.0001907509323191
scale(age_squared),0.3330029328818911,0.03128084526901151,0.28117076073068653,0.38411143482857907,5670,1.000446656967251
lnWt,0.2076888211884169,0.0042454430361553025,0.20059142781942826,0.21471086243703227,17610,0.9998085078705587
sigma,0.9767401446143489,0.002167536647574963,0.9732449192569108,0.9802978645037171,15006,0.999924118959807
mean_PPD,3.5044348791690565,0.004330737871465305,3.4972557358473755,3.5116578209591225,12085,0.9998301516662775
log-posterior,-139576.8770433661,6.390785909386481,-139587.9613423891,-139567.0941277987,2208,1.0027787383867577
