term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),3.660929533669504,0.10460720667502262,3.490407593254134,3.8343112896755853,3380,1.0004637269962982
age,-0.027018907184884273,0.002208315014323904,-0.030674350019642152,-0.023415870101934525,2600,1.0006367341026399
scale(age_squared),0.2263109171166333,0.038058678246308514,0.164008900285801,0.28950812761642575,2467,1.0009141431536408
lnWt,0.15729013055617258,0.004365056093150105,0.15008726610184348,0.1645305962676757,20242,0.9998072379719645
k6,-0.09678015158169184,7.502776828996514e-4,-0.0980211168496362,-0.09553851284825468,24776,0.9997502107491265
sigma,0.8732309785649561,0.00223352726255696,0.8695567468393453,0.8769004254903577,14106,1.0000001558302323
mean_PPD,3.5630187825529074,0.004612367484319293,3.55546873716796,3.570711339731664,12280,1.000030039815167
log-posterior,-95129.44813592047,6.9336602468224395,-95141.62047945325,-95118.66350914093,1816,1.0009597651250695
