age_group,n,n_events,converged,b_srh,se_srh,HR_ref,HR_ref_low,HR_ref_high,p_srh,b_year10,se_year10,p_year10,b_int,se_int,HR_mult_decade,HR_mult_decade_low,HR_mult_decade_high,p_int,p_int_z,F_stat,p_int_fdr
18-29,443075,4586,TRUE,-0.3869256967366802,0.022480544796660226,0.6791415554857502,0.6498669921207001,0.7097348503306338,3.200663046689577e-57,0.010437930020377089,0.07094642293826488,0.9042375878051773,-0.010261335606007935,0.01820992711874848,0.989791132281312,0.9550870481512065,1.025756225507542,0.6502971225137678,0.6502969004967842,0.20552601311128155,0.6502971225137678
30-39,409308,7369,TRUE,-0.5146431184309248,0.015926832209286697,0.5977138696226637,0.5793435020340597,0.6166667420709159,1.6624494562214713e-202,0.06829160628088796,0.04899261293273608,0.2481217608095461,-0.03790056115862608,0.013644140470970807,0.962808676710468,0.9374019844889642,0.9889039742691902,0.021837105071821773,0.02183660059696707,5.258757677073059,0.03057194710055048
40-49,374845,13781,TRUE,-0.5348501359787731,0.011698656345141304,0.5857570674768917,0.5724788414427874,0.5993432722061884,0,0.06468131975508916,0.03176951558991957,0.07354251070037013,-0.06101919528055256,0.009592929625007358,0.9408051805832981,0.9232812875374049,0.9586616773888785,3.529933743198072e-8,3.527618617101921e-8,30.393204029950518,6.177384050596626e-8
50-59,294617,24142,TRUE,-0.4881425749038434,0.008756429755044948,0.6137653592672513,0.6033214273713506,0.624390083206162,0,0.06600642192314743,0.021265048122429756,0.006426017321635085,-0.07597216138399861,0.006888014402127959,0.9268420081989999,0.9144132560517225,0.9394396925866139,1.998625327962578e-21,1.9845254988136583e-21,90.360868079726,6.995188647869022e-21
60-69,222718,41322,TRUE,-0.4203108000801801,0.006474249245464183,0.6568426413417627,0.6485602786871969,0.6652307729331505,0,0.05724386689059729,0.016182371306777618,0.0021820126310535793,-0.07503323393062657,0.005352035185144475,0.9277126542782269,0.9180318234513338,0.9374955714196734,4.509449009730025e-33,4.404933644861443e-33,143.573043548044,3.1566143068110175e-32
70-79,146650,57102,TRUE,-0.31023907352449254,0.005766149088671383,0.7332716294342683,0.7250311019992591,0.7416058167029314,0,0.011692724417026814,0.014946850136295362,0.498081174557938,-0.04923289382364026,0.004845997715778698,0.9519593984153366,0.9429603448568072,0.9610443335969809,1.5769433781236046e-18,1.5606080087072132e-18,77.18006520699944,3.679534548955077e-18
80-89,68900,46320,TRUE,-0.1806003748485302,0.007022168379709194,0.8347688866910492,0.8233582915429442,0.846337616739806,8.721228578376905e-147,-0.006290380142732281,0.016373282758095967,0.737604738918233,-0.009778341376448434,0.005183020454834982,0.9902693111561957,0.9802603675138462,1.000380451068185,0.09248220570965711,0.09247767438063104,2.8307063974591102,0.10789590666126664
