slice,component,ss,pct
AP,Age,15.611467571586351,104.36001296684555
AP,Period,0.19344781249365642,1.293165817222043
AP,Residual,0.521982604484599,3.489365181248312
AP,Total,14.959242652208186,100
AC,Age,16.25278086785384,103.79636373165314
AC,Cohort,0.6240426436533293,3.9853707344825984
AC,Residual,0.16612560683728905,1.0609405278163828
AC,Total,15.658333571176428,100
PC,Period,6.475191035947433,40.23608590401779
PC,Cohort,21.567360526604492,134.01707626135058
PC,Residual,0.3832230306635343,2.381303454457832
PC,Total,16.092994361812043,100
