slice,component,ss,pct
AP,Age,1.734677521990305,73.61794960577286
AP,Period,0.11452438670032207,4.860298483064955
AP,Residual,0.36268750263670235,15.392088704255197
AP,Total,2.356324145510129,100
AC,Age,1.8253917329232832,77.46776844779552
AC,Cohort,0.17615753471990542,7.475946594850533
AC,Residual,0.2561021203235368,10.868713492221687
AC,Total,2.356324145510129,100
PC,Period,0.18323479270337634,7.619524068021772
PC,Cohort,1.8771243766403412,78.05719730114279
PC,Residual,0.3446789987824261,14.332921647778033
PC,Total,2.404806272249874,100
