slice,component,ss,pct
AP,Age,6.691791306963902,84.62467158399872
AP,Period,0.2646870659746136,3.3472436606509235
AP,Residual,1.695946559860472,21.447010832936463
AP,Total,7.9076127348058405,100
AC,Age,6.441929827762831,76.83334162510405
AC,Cohort,1.5950728111939607,19.024543498006686
AC,Residual,0.6005542690901039,7.162852212787785
AC,Total,8.384289543457829,100
PC,Period,4.296298149333897,41.28582077677173
PC,Cohort,12.93844980468126,124.33367080172187
PC,Residual,0.6210639597995861,5.968192719393392
PC,Total,10.406231651693565,100
