"component","variance","pct_of_total","sd"
"cohort_4yr",0.0154637162074384,2.13870499249163,0.124353191384212
"age_group",0.0557026998077495,7.70394648841214,0.236014194081096
"period_4yr",0.000810053476777579,0.112034222028471,0.0284614384172266
"Residual",0.651064635369477,90.0453142970677,0.8068857635189
"Total",0.723041104861443,100,0.850318237403763
