"parameter","mean","sd","n_eff","Rhat"
"(Intercept)",2.86246248697427,0.0665932457609778,1380,1.00165842899876
"lnWt",0.046956964526294,0.00695752067699606,15346,0.999716550182863
"sigma",0.806879448139222,0.00234687449715947,13088,1.00019019438242
"Sigma[cohort_4yr:(Intercept),(Intercept)]",0.0155772043318978,0.00488995906909869,2236,1.001141274499
"Sigma[age_group:(Intercept),(Intercept)]",0.0555776252716625,0.0260882819930772,2188,1.0023479351465
"Sigma[period_4yr:(Intercept),(Intercept)]",0.00079059572488271,0.000519908933689981,2985,1.0016955892202
"mean_PPD",2.97174344620338,0.00471755405783691,8527,1.00002038733021
"log-posterior",-69502.7209034738,7.95439820743555,1977,1.00113638272734
