"period","estimate","std_error","ci_lower_90","ci_upper_90"
1971,0.00544624541606015,0.0158988364822392,-0.0196591267787192,0.0321590226162341
1975,-0.0139056456097314,0.0148684540588562,-0.0382678463953763,0.010432358430189
1979,-0.0201081286696791,0.0150630078271971,-0.0452230124107628,0.00420466101910583
1983,0.0148025740916278,0.0153136111663018,-0.00938920775319436,0.0407352007646713
1987,0.021710481320893,0.0136656949998975,0.000464328832300465,0.0449114101497417
1991,0.0161994071734732,0.0138117194779877,-0.00606005457994711,0.0395517933491485
1995,0.0330904561563774,0.0131507944332368,0.0121187609332441,0.0551685051369373
1999,0.0189716635213016,0.013433038821358,-0.00249314405044492,0.0416047440344892
2003,0.00749824646758551,0.0128718255819802,-0.0132201918621819,0.0286589912450648
2007,-0.0282374448267544,0.0161220231996637,-0.0558895362680343,-0.00239658780140812
2011,-0.0173194155182223,0.0155818272500038,-0.0440327877524473,0.00723906863612936
2015,-0.0283242929980935,0.0159023701567443,-0.0552349595471335,-0.00344367543223349
2019,0.0116216236986281,0.014166132345531,-0.0118302737827318,0.0347700836378259
2023,-0.0233547840510463,0.0171654326415739,-0.0522904741613294,0.00362801266123832
NA,0.00079059572488271,0.000519908933689981,0.000266793521242551,0.00173845396891899
