"period","age_slope","interaction","ci_10","ci_90","significant"
"1999",-0.0181735908174915,0,-0.01877305256088,-0.0175505875747464,"ref"
"2003",-0.019134474628311,-0.000960883810819488,-0.00155974301620022,-0.000364146568882869,"*"
"2007",-0.0178700365575309,0.000303554259960627,-0.000325505258360737,0.000924286535563831,""
"2011",-0.0178161685658255,0.000357422251666031,-0.000271740189851329,0.000983913165262824,""
"2015",-0.0158779504737102,0.00229564034378132,0.00165604448835709,0.00293398318260202,"*"
"2019",-0.0109879645598124,0.00718562625767907,0.00646195419389757,0.00789627773726983,"*"
"2023",-0.00553616705946508,0.0126374237580264,0.0114148616174594,0.0138382544423654,"*"
