"year","age_group","stratum","mean_srh","n","dataset"
1995,"18-29","NH-Black",3.79796836539225,2239,"BRFSS"
1995,"18-29","NH-AIAN",3.53419012379299,312,"BRFSS"
1995,"18-29","NH-Asian/PI",3.83759815146199,512,"BRFSS"
1995,"18-29","Hispanic",3.55695341112623,1875,"BRFSS"
1995,"18-29","Other",3.95536905373095,333,"BRFSS"
1995,"30-39","NH-White",3.94951890307921,21163,"BRFSS"
1995,"30-39","NH-Black",3.68796974805058,2379,"BRFSS"
1995,"30-39","NH-AIAN",3.77437448571874,363,"BRFSS"
1995,"30-39","NH-Asian/PI",3.72680419820465,459,"BRFSS"
1995,"30-39","Hispanic",3.60080197761161,1787,"BRFSS"
1995,"30-39","Other",3.85531771020524,334,"BRFSS"
1995,"40-49","NH-White",3.85428038793947,18739,"BRFSS"
1995,"40-49","NH-Black",3.32969503460616,1852,"BRFSS"
1995,"40-49","NH-AIAN",3.37058585008856,277,"BRFSS"
1995,"40-49","NH-Asian/PI",3.92027352234031,291,"BRFSS"
1995,"40-49","Hispanic",3.33333146466486,1086,"BRFSS"
1995,"40-49","Other",3.87152304931571,312,"BRFSS"
1995,"50-59","NH-White",3.63708874739834,12270,"BRFSS"
1995,"50-59","NH-Black",3.10441046790157,1077,"BRFSS"
1995,"50-59","NH-AIAN",3.39584183210575,186,"BRFSS"
1995,"50-59","NH-Asian/PI",3.35495954425149,126,"BRFSS"
1995,"50-59","Hispanic",3.26865978665535,655,"BRFSS"
1995,"50-59","Other",3.27703289712403,191,"BRFSS"
1995,"60-69","NH-White",3.38595145160337,11411,"BRFSS"
1995,"60-69","NH-Black",2.8356354330934,924,"BRFSS"
1995,"60-69","NH-AIAN",2.86890807397402,130,"BRFSS"
1995,"60-69","NH-Asian/PI",3.28381508845877,70,"BRFSS"
1995,"60-69","Hispanic",2.98308236775578,452,"BRFSS"
1995,"60-69","Other",3.11878727948858,202,"BRFSS"
1995,"70-79","NH-White",3.10417616389614,9759,"BRFSS"
1995,"70-79","NH-Black",2.7098640532001,596,"BRFSS"
1995,"70-79","NH-AIAN",2.84262478282532,76,"BRFSS"
1995,"70-79","NH-Asian/PI",2.83117383438226,33,"BRFSS"
1995,"70-79","Hispanic",2.68133606736252,300,"BRFSS"
1995,"70-79","Other",3.1222040532183,172,"BRFSS"
1995,"80-89","NH-White",2.92251611305101,4223,"BRFSS"
1995,"80-89","NH-Black",2.68951484628721,244,"BRFSS"
1995,"80-89","NH-AIAN",2.06950147022341,36,"BRFSS"
1995,"80-89","NH-Asian/PI",4.20919889804067,14,"BRFSS"
1995,"80-89","Hispanic",2.87103481049339,97,"BRFSS"
1995,"80-89","Other",2.85982789489222,71,"BRFSS"
1996,"18-29","NH-White",3.90799821925139,16401,"BRFSS"
1996,"18-29","NH-Black",3.73830881565114,2370,"BRFSS"
1996,"18-29","NH-AIAN",3.84536517676979,301,"BRFSS"
1996,"18-29","NH-Asian/PI",3.69819873179319,641,"BRFSS"
1996,"18-29","Hispanic",3.52967744688993,2313,"BRFSS"
1996,"18-29","Other",3.73685779522952,244,"BRFSS"
1996,"30-39","NH-White",3.9185834509872,22041,"BRFSS"
1996,"30-39","NH-Black",3.7528479723401,2595,"BRFSS"
1996,"30-39","NH-AIAN",3.62224684033829,349,"BRFSS"
1996,"30-39","NH-Asian/PI",3.82451559882939,636,"BRFSS"
1996,"30-39","Hispanic",3.49117979604094,2211,"BRFSS"
1996,"30-39","Other",3.79648068051903,294,"BRFSS"
1996,"40-49","NH-White",3.82673040485534,20838,"BRFSS"
1996,"40-49","NH-Black",3.4458657563506,2001,"BRFSS"
