"dataset","year","r_squared","n"
"NHIS",1984,0.000191973848068239,16078
"NHIS",1985,0.00424826153850688,33528
"NHIS",1987,0.00496171775675502,43962
"NHIS",1988,0.0053205805884351,43662
"NHIS",1989,0.00562224653792853,42258
"NHIS",1990,0.00528501126514447,40999
"NHIS",1991,0.00564735237815861,43635
"NHIS",1992,0.00414400736230103,24000
"NHIS",1993,0.00463037149551415,44244
"NHIS",1997,0.00271920383634894,36081
"NHIS",1998,0.00243564928714923,32410
"NHIS",1999,0.00312995239903524,30763
"NHIS",2000,0.00206099102748603,32342
"NHIS",2001,0.00182896264926091,33285
"NHIS",2002,0.00174482088633188,31003
"NHIS",2003,0.00224969039078005,30815
"NHIS",2004,0.00169871186027937,31304
"NHIS",2005,0.00164317647859691,31413
"NHIS",2006,0.00123128578485987,24257
"NHIS",2007,0.00083953459302577,23378
"NHIS",2008,0.00278006750148885,21767
"NHIS",2009,0.000510233995926201,27721
"NHIS",2010,0.00130456973061266,27141
"NHIS",2011,0.0011642442360339,32997
"NHIS",2012,0.00149170952073063,34507
"NHIS",2013,0.000875457114781875,34542
"NHIS",2014,0.000469376247288045,36674
"NHIS",2015,0.000472975093626649,33661
"NHIS",2016,0.000901832858305696,33016
"NHIS",2017,0.00142684400195137,26734
"NHIS",2018,0.000397192931803625,25408
"NHIS",2019,0.000130237126441224,31894
"NHIS",2020,0.000341119999212269,31476
"NHIS",2021,0.000436312795864757,29381
"NHIS",2022,0.000312117893838892,27578
"NHIS",2023,0.000208696569617306,29431
"NHIS",2024,0.000387607909695387,32557
