"dataset","year","r_squared","n"
"NHIS",1987,0.110882249676677,43962
"NHIS",1988,0.100400758228521,43662
"NHIS",1989,0.0972627454571492,42258
"NHIS",1990,0.0945555039021765,40999
"NHIS",1991,0.093168279334903,43635
"NHIS",1992,0.0854765433486983,24000
"NHIS",1993,0.0845120786911391,44244
"NHIS",1997,0.0986561905538181,36081
"NHIS",1998,0.100827393457935,32410
"NHIS",1999,0.10236231479009,30763
"NHIS",2000,0.105040136304468,32342
"NHIS",2001,0.101696122373688,33285
"NHIS",2002,0.100095620398518,31003
"NHIS",2003,0.0967646856169527,30815
"NHIS",2004,0.102381514031906,31304
"NHIS",2005,0.0954609219470783,31413
"NHIS",2006,0.0907640381816702,24257
"NHIS",2007,0.0922516717691658,23378
"NHIS",2008,0.089714007805842,21767
"NHIS",2009,0.0885281719250689,27721
"NHIS",2010,0.0720550374106159,27141
"NHIS",2011,0.0770070322526777,32997
"NHIS",2012,0.0716876456588158,34507
"NHIS",2013,0.0818396611276063,34542
"NHIS",2014,0.0778620028609018,36674
"NHIS",2015,0.0762530053835776,33661
"NHIS",2016,0.0727927093707831,33016
"NHIS",2017,0.0818891683284119,26734
"NHIS",2018,0.0806799560109548,25408
"NHIS",2019,0.0749499324970463,31894
"NHIS",2020,0.0792380406736717,31476
"NHIS",2021,0.0821670050810485,29381
"NHIS",2022,0.0672706119402176,27578
"NHIS",2023,0.0641066836671144,29431
"NHIS",2024,0.0646751612140212,32557
