"year","age_group","stratum","mean_srh","n","dataset"
1999,"60-69","Female",3.29289876757263,10922,"BRFSS"
1999,"60-69","Male",3.34338732649803,7197,"BRFSS"
1999,"70-79","Female",3.08106903899419,9702,"BRFSS"
1999,"70-79","Male",3.10582017785787,5239,"BRFSS"
1999,"80-89","Female",3.01107928872373,4619,"BRFSS"
1999,"80-89","Male",3.11458118003253,1840,"BRFSS"
2000,"18-29","Female",3.75813508234972,18242,"BRFSS"
2000,"18-29","Male",3.83137438260285,13785,"BRFSS"
2000,"30-39","Female",3.77680428113315,22137,"BRFSS"
2000,"30-39","Male",3.80574631060634,15525,"BRFSS"
2000,"40-49","Female",3.65461740856397,22347,"BRFSS"
2000,"40-49","Male",3.66274671004483,16342,"BRFSS"
2000,"50-59","Female",3.43307433446353,17175,"BRFSS"
2000,"50-59","Male",3.51241857023204,12236,"BRFSS"
2000,"60-69","Female",3.25182520666758,12524,"BRFSS"
2000,"60-69","Male",3.26600726288513,8324,"BRFSS"
2000,"70-79","Female",3.05968728561026,10765,"BRFSS"
2000,"70-79","Male",3.07927770454708,5835,"BRFSS"
2000,"80-89","Female",2.93714299533355,5013,"BRFSS"
2000,"80-89","Male",3.00570197457614,2004,"BRFSS"
2001,"18-29","Female",3.79325070023492,20329,"BRFSS"
2001,"18-29","Male",3.84406992164556,15414,"BRFSS"
2001,"30-39","Female",3.7752305220379,24779,"BRFSS"
2001,"30-39","Male",3.80402563860403,17490,"BRFSS"
2001,"40-49","Female",3.61960923484052,25736,"BRFSS"
2001,"40-49","Male",3.63761242673787,18980,"BRFSS"
2001,"50-59","Female",3.45693160019015,20558,"BRFSS"
2001,"50-59","Male",3.50346943866038,14628,"BRFSS"
2001,"60-69","Female",3.23384892480092,14538,"BRFSS"
2001,"60-69","Male",3.30145570697906,9741,"BRFSS"
2001,"70-79","Female",3.0850800986115,12408,"BRFSS"
2001,"70-79","Male",3.11833691760842,6987,"BRFSS"
2001,"80-89","Female",2.91705383003172,6125,"BRFSS"
2001,"80-89","Male",2.95632155453935,2530,"BRFSS"
2002,"18-29","Female",3.7690042977669,21330,"BRFSS"
2002,"18-29","Male",3.83127530173511,15417,"BRFSS"
2002,"30-39","Female",3.76035729994706,27068,"BRFSS"
2002,"30-39","Male",3.78798193467692,18652,"BRFSS"
2002,"40-49","Female",3.597904205509,30169,"BRFSS"
2002,"40-49","Male",3.63366315718435,21693,"BRFSS"
2002,"50-59","Female",3.43212931887438,25375,"BRFSS"
2002,"50-59","Male",3.49359173074716,18129,"BRFSS"
2002,"60-69","Female",3.25901354294794,18515,"BRFSS"
2002,"60-69","Male",3.25918437622415,12295,"BRFSS"
2002,"70-79","Female",3.01913748440823,15887,"BRFSS"
2002,"70-79","Male",3.06270799846454,8676,"BRFSS"
2002,"80-89","Female",2.92284816232815,8026,"BRFSS"
2002,"80-89","Male",2.99220024634744,3365,"BRFSS"
2003,"18-29","Female",3.74582116594328,21567,"BRFSS"
2003,"18-29","Male",3.81492122694383,14911,"BRFSS"
2003,"30-39","Female",3.76606305660638,27700,"BRFSS"
2003,"30-39","Male",3.76797713062161,18679,"BRFSS"
2003,"40-49","Female",3.61247222560704,32745,"BRFSS"
2003,"40-49","Male",3.61861417436194,22634,"BRFSS"
2003,"50-59","Female",3.44383621522408,29097,"BRFSS"
2003,"50-59","Male",3.4596854739548,20031,"BRFSS"
2003,"60-69","Female",3.26265388588522,21631,"BRFSS"
2003,"60-69","Male",3.29022021722407,14083,"BRFSS"
2003,"70-79","Female",3.02394110046937,16993,"BRFSS"
2003,"70-79","Male",3.07237772437615,9642,"BRFSS"
2003,"80-89","Female",2.93165882258021,8800,"BRFSS"
2003,"80-89","Male",2.97423742686859,3790,"BRFSS"
