component,M1_base,M2_demog,M3_k6,M4_full
Cohort,0.5010863896715632,0.2966318734944796,0.0673842458328605,0.0766248816498849
Period,0.11892482818999953,0.6434862115697377,0.2252098862771474,0.6888435663055493
Residual,99.37998878213844,99.05988191493577,99.70740586789,99.23453155204457
