term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),4.849307389603516,0.08270065234948315,4.7120792412358945,4.982767123412019,3890,1.0003221705244318
age,-0.02515222998308173,0.0017920551850114691,-0.02804108398611443,-0.02217484762052013,3813,1.0004821337058927
scale(age_squared),0.11710948628962012,0.03019618175188848,0.06618692863979454,0.16605021247907076,3881,1.0003759103612082
lnWt,-1.5642398318571946e-4,7.782366919913635e-4,-0.001411774470374334,0.0011287309443101753,19617,0.99988953811486
sigma,1.023988404749176,0.0022829410043145194,1.020269962710163,1.027765321948426,19193,1.0000983305751268
mean_PPD,3.711350809652555,0.004570761015691064,3.7038610336563966,3.7189361216009265,12241,0.9999623621648162
log-posterior,-144323.64752800576,6.595889058834639,-144335.1728988714,-144313.4036505121,1823,1.0015680458608
